distance_ticks,count
0,12714
1,4346
2,1566
3,1426
4,1120
5,884
6,889
7,695
8,438
9,421
10,284
11,163
12,83
13,62
14,48
15,57
16,63
17,66
18,108
19,255
20,282
21,476
22,373
23,315
24,204
25,146
26,124
27,107
28,62
29,23
30,8
31,15
32,8
33,9
34,5
35,15
36,14
37,11
38,8
39,11
40,12
41,7
42,8
43,9
44,10
45,8
46,3
47,5
48,3
49,7
50,4
51,8
52,7
53,12
54,8
55,3
56,2
57,7
58,3
59,6
60,8
61,8
63,1
65,4
66,3
67,11
68,1
69,3
70,5
71,1
72,27
73,28
74,56
75,2
77,17
78,1
79,13
80,1
81,7
83,1
84,5
85,2
86,9
87,9
88,32
89,46
90,9
91,8
92,1
93,1
94,23
95,6
96,7
97,27
98,28
99,8
100,25
101,5
106,1
107,1
108,1
109,2
110,1
113,1
121,1
125,1
129,1
137,1
141,2
144,1
149,1
152,1
158,2
165,1
173,1
176,5
178,1
179,1
182,1
186,28
190,33
193,3
195,3
199,3
201,1
202,3
204,1
206,1
208,28
209,4
210,2
211,27
213,3
214,29
215,3
216,28
218,29
221,28
224,1
226,1
228,1
230,2
236,1
238,6
249,1
251,2
256,1
311,1
510,1
555,1
591,1
640,2
656,1
657,1
686,1
740,1
757,1
791,1
840,1
880,1
1040,2
1082,1
1255,1
1340,1
1405,1
1656,2
2033,1
2480,1
9999240,1
9999340,1
9999650,1
9999689,1
9999740,1
