quantity,count
1,79
2,18
3,3
5,14
6,4
7,2
8,2
9,2
10,76
11,8
12,7
13,26
14,4
15,44
16,9
17,4
18,3
20,14
21,4
22,3
23,8
24,89
25,253
26,23
27,57
28,27
29,12
30,583
31,8
32,5
33,1
34,4
35,3
36,2
37,1
38,249
39,20
40,7
41,8
42,9
43,13
44,4
45,3
46,4
47,9
48,4
49,1
50,21
51,30
52,12
53,25
54,5
55,11
56,6
57,13
58,17
59,9
60,14
61,9
62,8
63,9
64,6
65,3
66,4
67,1
68,8
69,10
70,44
71,16
72,23
73,24
74,28
75,29
76,14
77,15
78,4
79,7
80,15
81,5
82,9
83,14
84,6
85,5
86,12
87,16
88,14
89,6
90,8
91,6
92,9
93,6
94,8
95,7
96,6
97,12
98,12
99,12
100,17482
101,10
102,10
103,13
104,4
105,2
106,6
107,9
108,14
109,16
110,7
111,6
112,5
113,1
114,1
115,1
116,2
117,1
118,1
119,3
120,5
122,4
123,3
124,3
125,21
126,2
127,2
128,4
129,3
130,2
131,1
132,1
133,4
135,33
137,2
138,1
139,2
140,3
141,1
146,1
147,1
148,2
149,2
150,5
154,1
155,1
158,1
160,3
165,2
166,1
170,1
171,31
173,1
175,1
176,5
177,13
180,3
181,2
185,1
188,3
189,6
190,1
193,2
195,1
196,1
199,5
200,2911
201,4
202,6
203,3
204,31
205,1
206,1
207,1
208,1
209,1
219,1
224,1
225,3
226,4
227,1
229,3
230,1
231,3
232,4
233,4
234,4
235,3
236,1
237,1
238,1
239,1
240,1
242,1
244,1
246,1
248,1
250,3
255,1
258,2
259,2
260,1
261,4
262,4
263,5
264,6
265,7
266,2
267,1
268,2
269,3
270,3
271,1
272,3
273,3
274,3
275,5
276,6
277,2
279,1
280,2
281,1
282,27
283,2
284,3
285,8
286,3
287,8
288,4
289,4
290,1
291,2
293,1
294,2
295,3
299,3
300,1490
302,1
310,22
311,1
320,2
323,4
329,8
330,11
333,1
338,1
340,13
341,1
342,1
344,2
348,1
349,1
350,74
353,1
359,2
360,2
369,4
370,4
371,1
374,5
375,2
380,2
390,3
392,1
394,2
395,1
400,1047
402,2
403,3
410,12
411,2
420,26
421,7
422,2
425,21
428,6
430,20
431,3
435,5
438,1
440,4
443,3
444,8
445,4
449,9
450,20
454,7
456,1
457,1
458,1
460,17
465,10
470,19
475,3
476,5
480,3
486,3
489,2
490,14
491,2
496,1
497,1
498,1
499,3
500,1122
554,1
578,1
588,1
600,295
637,1
700,44
709,1
750,2
767,1
781,1
800,18
820,1
829,1
830,1
831,1
835,1
842,1
898,4
900,44
914,1
930,1
946,1
970,1
996,1
1000,120
1055,1
1100,80
1110,1
1200,186
1210,1
1300,29
1310,1
1400,7
1500,5
1700,28
1800,29
1900,40
1966,19
2000,52
2100,35
2200,65
2300,2
2400,48
2500,67
2600,1
2631,1
2653,1
2700,1
2800,20
2900,31
3000,67
3085,1
3100,41
3200,30
3300,2
3364,1
3464,1
3782,1
3800,1
3810,3
4700,1
5000,1
7600,1
7900,1
8077,2
10000,1
