distance_ticks,count
0,755
1,49
2,3
3,3
4,5
5,68
6,3
7,7
8,7
9,6
10,5
11,4
12,2
13,3
14,9
15,12
16,9
17,29
18,30
19,21
20,41
21,11
22,7
23,28
24,8
25,8
26,6
27,5
28,4
29,4
30,3
31,7
32,3
33,2
34,8
35,1
36,2
37,2
38,3
39,3
40,7
41,3
42,1
43,4
44,3
45,2
46,1
47,5
48,8
50,5
51,7
52,1
53,1
56,2
57,3
58,1
59,3
60,4
61,1
62,2
63,4
64,2
66,2
67,1
68,4
69,1
70,2
71,1
72,1
73,2
74,5
75,1
76,2
79,1
82,2
83,1
84,2
85,4
86,2
87,2
88,1
91,1
92,1
93,2
95,1
104,2
105,4
108,1
110,2
111,1
112,2
115,1
116,2
117,1
118,1
122,1
123,2
124,1
128,1
129,1
131,1
135,2
136,2
137,2
140,3
141,1
143,3
145,1
147,5
148,1
150,3
152,1
159,1
160,1
163,1
165,2
167,1
168,1
169,2
173,2
175,3
177,1
180,2
182,1
183,1
184,2
186,1
187,1
189,1
190,2
191,2
192,1
194,1
198,3
199,1
200,2
201,3
202,3
204,2
205,2
206,1
207,1
210,4
211,1
214,1
215,1
217,1
219,1
220,2
221,1
223,3
225,1
226,1
230,1
232,2
234,3
235,1
236,2
238,2
239,1
244,2
245,2
246,2
249,2
250,1
251,2
255,1
257,1
258,2
259,2
260,2
273,1
276,3
279,2
280,1
282,2
298,1
301,1
302,2
307,1
308,3
310,2
324,1
325,1
329,1
337,1
340,1
341,1
342,1
347,2
350,1
351,2
354,2
362,1
368,2
369,2
382,4
392,1
399,1
405,1
409,2
412,1
427,2
438,1
448,1
455,2
461,1
474,1
477,1
479,1
480,1
481,1
483,1
497,1
508,1
512,1
516,1
517,1
518,1
536,1
542,1
549,1
557,1
567,1
570,1
602,1
611,4
612,1
624,1
695,1
702,7
747,1
759,1
772,1
781,1
798,3
807,1
823,1
876,3
881,2
895,1
902,17
904,1
912,1
918,3
921,3
922,7
923,3
941,3
943,10
978,1
981,14
1003,14
1006,1
1012,10
1029,11
1032,18
1034,7
1050,7
1053,3
1071,1
1083,2
1180,1
1182,2
1304,1
1370,2
3369,1
