quantity,count
1,45
2,6
3,11
4,5
5,28
6,12
7,11
8,5
9,8
10,14
11,6
12,2
13,5
14,8
15,3
17,3
18,6
19,3
20,6
21,5
22,1
23,3
24,4
25,5
27,4
28,7
29,2
30,4
31,7
32,5
33,10
34,6
35,4
36,5
37,2
38,1
39,6
40,3
41,6
42,1
43,4
44,3
45,1
46,4
47,2
48,6
49,1
50,11
51,1
52,3
53,3
54,1
55,1
56,1
57,6
58,1
59,6
60,6
61,4
62,1
63,2
64,4
65,1
66,3
67,7
68,5
69,5
70,1
71,1
72,6
73,4
74,4
75,9
76,3
77,5
78,4
79,3
80,3
81,2
82,2
85,4
86,3
87,2
88,1
89,1
90,16
91,5
92,2
93,5
94,8
95,9
96,4
97,4
99,6
100,898
105,1
108,1
109,2
110,3
115,1
119,1
121,1
122,2
128,1
131,1
134,2
142,1
150,2
151,1
156,1
159,1
160,1
169,1
172,1
173,1
176,1
179,1
181,1
183,2
185,2
190,1
193,2
195,2
197,1
200,163
203,1
210,1
213,1
221,1
236,1
241,1
264,1
273,1
290,1
292,1
294,1
300,34
337,1
369,1
385,1
388,1
391,1
395,2
400,17
405,1
410,1
421,1
463,1
466,1
500,11
599,1
600,9
700,3
715,1
800,2
900,2
1000,2
1068,1
1100,3
1232,1
1400,1
1441,1
2419,1
2539,1
3300,1
3900,1
4700,1
