distance_ticks,count
0,6760
1,3121
2,1434
3,1334
4,965
5,478
6,350
7,335
8,247
9,251
10,223
11,192
12,207
13,149
14,83
15,37
16,27
17,49
18,103
19,111
20,138
21,191
22,171
23,222
24,125
25,117
26,147
27,208
28,171
29,100
30,36
31,24
32,17
33,6
34,4
35,8
36,10
37,8
38,5
39,2
40,3
41,6
42,5
43,5
44,4
45,9
46,4
47,1
48,5
49,5
50,4
51,13
52,5
53,4
54,5
55,5
56,2
57,1
58,3
59,5
60,2
61,5
62,9
64,1
66,1
67,1
68,1
69,8
70,4
71,1
72,3
73,3
74,1
75,2
77,1
78,2
79,2
80,3
84,2
85,1
86,1
87,4
90,4
91,2
92,1
94,1
95,1
96,4
97,2
98,3
100,3
102,2
107,25
108,2
109,12
110,50
111,41
112,1
113,1
114,8
116,1
118,1
122,2
124,1
125,1
131,10
138,3
150,1
151,2
155,2
158,1
159,1
162,1
165,1
171,4
173,2
176,2
182,1
185,1
189,1
191,8
193,3
195,1
196,3
200,4
201,1
204,3
207,1
209,1
211,25
213,10
214,25
215,1
216,8
218,33
219,1
220,25
221,8
223,25
224,8
228,1
235,1
246,1
249,33
258,1
260,1
280,1
305,1
308,1
315,1
396,1
472,1
524,1
606,1
608,1
650,1
715,1
1030,1
1150,1
1901,1
2079,1
2150,1
2250,1
2296,1
2396,1
2615,1
2650,1
2749,1
2798,1
3906,1
4250,1
5227,1
9148,1
9999150,1
9999228,1
9999398,1
9999607,1
9999615,1
19999605,1
