quantity,count
1,364
2,48
3,106
4,87
5,84
6,17
7,13
8,14
9,77
10,266
11,7
12,14
13,4
14,3
15,40
16,14
17,3
18,9
19,10
20,76
21,18
22,9
23,14
24,15
25,32
26,12
27,20
28,41
29,11
30,221
31,10
32,10
33,12
34,3
35,7
36,3
37,1
38,2
39,16
40,76
41,6
42,32
43,2
44,3
45,6
46,5
48,3
49,5
50,32
51,2
52,64
53,3
54,4
55,7
56,3
57,2
58,2
59,4
60,9
61,2
62,2
63,3
64,12
65,4
66,5
67,1
68,3
69,3
70,10
71,5
72,12
73,3
74,3
75,15
76,4
77,14
78,7
79,11
80,18
81,7
83,10
84,4
85,8
86,5
87,4
88,9
89,12
90,9
91,8
92,11
93,2
94,8
95,5
96,8
97,7
98,7
99,28
100,30591
101,6
102,16
103,1
104,2
105,2
106,1
107,2
108,1
109,3
110,1
113,3
114,1
115,1
116,29
117,3
118,4
120,3
121,3
122,4
123,4
124,3
125,11
126,1
127,2
128,1
129,3
130,3
131,2
133,1
134,4
135,2
136,3
138,5
140,3
141,1
142,3
144,6
145,1
147,1
150,8
152,1
154,1
155,1
156,2
157,1
158,1
159,1
160,4
163,1
164,1
168,1
170,31
174,4
175,4
176,3
177,2
178,2
180,2
182,44
183,5
184,1
187,1
188,1
189,5
190,1
191,3
192,3
193,2
194,1
196,98
197,3
198,3
199,26
200,2754
203,1
205,10
206,1
207,1
211,1
220,1
221,1
225,3
228,1
229,1
230,1
233,5
238,1
240,1
241,1
243,1
246,1
250,2
258,1
260,1
261,1
264,1
270,5
272,2
275,1
276,1
278,1
279,1
288,1
289,2
292,55
296,1
297,9
299,1
300,860
307,8
326,1
330,2
333,17
338,2
340,3
342,22
361,1
366,1
370,2
372,1
381,1
382,1
389,2
400,511
406,1
413,1
430,2
438,2
440,3
475,1
500,1136
522,1
530,1
540,1
600,60
602,1
626,1
644,3
700,24
766,1
771,1
788,1
800,59
851,1
900,150
942,1
979,1
1000,97
1056,1
1058,1
1079,1
1091,1
1100,66
1200,2
1224,1
1300,57
1358,1
1400,55
1500,79
1750,1
1800,5
1900,1
2000,48
2500,1
2800,5
3000,2
3900,1
4000,1
4700,1
4800,1
5000,1
10000,1
25000,3
47000,1
50000,1
