quantity,count
1,85
2,36
3,43
4,12
5,51
6,14
7,16
8,16
9,3
10,95
11,20
12,16
13,19
14,7
15,87
16,8
17,4
18,4
19,18
20,18
21,8
22,8
23,4
24,11
25,24
26,12
27,14
28,9
29,18
30,402
31,1
32,3
33,2
34,7
35,2
36,2
37,8
38,2
39,11
40,21
41,3
42,2
44,2
45,11
46,4
47,10
48,4
49,7
50,112
51,4
52,7
53,4
54,8
55,8
57,5
58,11
60,12
61,4
62,2
63,4
64,1
65,4
66,5
68,2
69,6
70,8
71,3
72,7
73,3
75,5
76,1
77,3
78,4
79,3
80,4
81,1
82,18
84,2
85,2
86,4
87,4
88,6
89,10
90,11
91,4
92,2
93,6
94,1
96,9
99,8
100,8140
101,1
102,1
103,2
104,2
106,1
107,1
109,2
110,2
112,2
113,2
114,4
115,2
116,5
118,2
119,2
120,4
121,1
122,2
124,1
125,1
126,6
127,1
128,3
129,2
130,2
131,1
132,2
136,1
137,5
138,2
139,1
140,2
141,1
144,2
145,1
148,1
149,1
150,42
151,1
152,1
154,10
156,6
158,2
160,2
162,3
165,1
166,1
167,1
168,1
172,1
173,1
175,3
179,1
184,1
187,8
188,1
189,9
190,1
191,2
192,2
196,8
197,1
199,1
200,827
204,4
206,4
207,3
210,7
211,4
212,6
213,1
214,3
216,5
217,1
218,2
219,2
222,1
224,104
226,6
227,2
228,4
230,1
231,4
232,2
234,9
235,1
236,1
239,2
240,6
242,1
243,1
244,2
248,4
250,43
251,5
253,7
255,2
256,4
257,2
258,3
260,3
262,2
265,5
266,1
267,4
268,2
272,5
275,6
278,3
280,12
284,1
285,2
286,2
287,1
288,9
289,3
291,2
296,3
298,1
299,3
300,871
301,2
303,6
306,6
307,4
308,1
310,5
311,3
315,4
316,2
317,2
322,2
325,11
329,3
330,9
332,3
336,2
338,2
341,1
344,1
346,2
348,1
350,11
351,1
352,7
355,3
359,2
362,1
364,5
365,1
367,3
368,3
369,4
370,1
371,1
372,1
375,1
376,5
377,5
378,2
379,12
380,4
381,15
383,1
384,4
385,2
387,1
395,7
396,3
398,10
400,280
401,1
404,1
405,36
406,5
408,1
410,1
412,3
413,2
415,2
418,2
419,2
420,1
427,3
429,3
430,1
432,5
433,1
435,4
439,1
440,5
442,6
445,1
448,5
449,3
450,24
451,5
452,4
453,3
455,1
456,10
457,3
459,1
461,10
462,1
463,1
464,1
465,1
466,12
467,1
469,1
471,1
473,36
475,1
476,1
477,9
480,4
481,14
482,3
485,1
487,2
488,3
490,2
491,9
492,5
494,1
496,2
497,3
498,1
499,3
500,326
501,4
502,2
508,1
510,2
515,4
521,4
522,8
523,4
524,10
525,1
528,3
531,2
532,1
533,3
535,3
536,2
539,2
540,2
541,1
542,1
544,2
546,1
547,4
548,1
549,6
550,38
551,3
552,7
553,1
556,1
560,2
564,1
569,2
575,1
576,2
577,12
578,10
580,5
581,2
583,1
584,8
586,1
587,2
588,38
589,3
590,4
591,2
592,1
596,2
597,1
598,6
599,1
600,191
604,1
606,2
610,3
613,2
617,2
620,5
622,2
626,3
629,2
630,1
634,1
637,2
640,2
641,2
642,2
644,3
647,1
648,1
649,1
650,21
653,2
655,2
660,8
664,2
666,6
667,3
668,1
670,1
671,6
673,5
675,1
676,2
678,24
683,1
689,3
690,1
700,318
702,1
711,2
716,2
717,2
718,3
721,5
725,2
726,1
728,4
732,6
733,1
734,2
735,2
738,2
740,1
742,4
744,8
745,2
750,11
753,2
757,1
762,1
767,11
769,7
770,1
772,3
773,4
775,5
780,1
781,5
782,1
783,7
784,1
788,1
789,4
791,4
800,126
801,1
804,2
805,2
822,2
825,2
826,2
833,1
837,7
843,2
845,2
850,16
852,3
853,2
855,4
861,2
863,1
865,14
866,1
873,2
877,1
880,3
882,1
893,1
895,1
900,80
901,4
904,2
905,2
906,1
916,2
920,4
932,2
933,1
941,2
945,1
950,1
955,14
960,1
961,4
962,11
968,1
970,2
971,2
972,4
974,3
979,3
981,6
984,2
986,2
988,1
991,2
992,4
996,4
999,3
1000,115
1016,1
1020,4
1021,3
1022,1
1024,1
1029,1
1030,3
1031,2
1036,1
1038,3
1040,3
1042,2
1045,1
1050,1
1054,1
1058,1
1060,1
1068,2
1070,2
1073,2
1075,2
1079,2
1085,5
1095,2
1100,21
1101,1
1108,1
1110,1
1114,3
1115,2
1116,4
1121,7
1122,1
1123,2
1126,6
1127,3
1141,2
1145,2
1146,2
1149,1
1153,5
1154,1
1158,3
1161,4
1164,3
1169,2
1172,4
1176,1
1179,2
1182,1
1193,1
1195,1
1200,29
1205,5
1218,1
1219,3
1225,2
1229,1
1230,2
1232,3
1233,1
1237,4
1246,1
1249,2
1250,3
1270,2
1272,2
1278,2
1280,1
1281,1
1287,3
1289,1
1291,1
1292,2
1296,1
1297,2
1299,2
1300,20
1313,3
1316,1
1329,3
1332,4
1336,6
1337,1
1338,1
1345,11
1346,2
1362,2
1367,5
1371,1
1374,2
1385,2
1387,5
1389,1
1400,35
1403,2
1404,1
1412,1
1425,2
1431,2
1433,2
1435,11
1443,10
1446,1
1457,3
1463,4
1471,1
1489,1
1491,1
1496,1
1500,28
1504,1
1507,6
1509,2
1510,1
1522,1
1527,1
1540,2
1546,2
1548,1
1549,3
1557,4
1568,1
1571,1
1572,1
1575,2
1580,2
1588,1
1589,2
1591,10
1596,5
1600,20
1613,2
1643,1
1649,3
1650,1
1658,1
1665,3
1671,2
1689,2
1695,1
1700,16
1705,5
1710,1
1720,3
1732,5
1734,2
1740,2
1768,4
1774,2
1796,2
1800,33
1801,1
1834,1
1849,2
1855,3
1863,1
1864,1
1877,4
1900,2
1920,3
1921,2
1924,9
1925,3
1929,1
1933,1
1934,1
1939,2
1949,5
1956,2
1965,1
1975,2
1991,1
1995,2
1997,1
2000,76
2002,5
2003,4
2018,4
2024,2
2037,7
2066,2
2074,4
2091,1
2094,1
2098,4
2100,3
2109,4
2135,1
2137,2
2149,10
2155,4
2170,1
2173,1
2186,7
2194,1
2200,5
2207,1
2209,1
2212,1
2218,2
2220,6
2239,2
2251,1
2252,2
2256,1
2257,5
2271,4
2273,5
2302,2
2310,2
2315,1
2329,3
2332,1
2338,3
2344,1
2349,3
2350,1
2357,1
2385,2
2395,1
2400,3
2402,1
2421,2
2437,2
2445,3
2461,2
2462,1
2468,4
2472,2
2475,5
2488,5
2492,2
2500,5
2520,1
2523,1
2550,2
2553,2
2557,2
2571,2
2573,2
2580,3
2583,4
2596,3
2600,6
2612,1
2622,4
2632,3
2637,1
2640,1
2643,1
2649,1
2678,5
2720,1
2758,3
2769,2
2831,2
2863,3
2876,1
2905,2
2907,1
2913,1
2919,2
2923,1
2932,2
2984,4
3000,16
3004,1
3013,1
3040,2
3049,2
3051,1
3084,1
3113,1
3174,1
3200,7
3219,2
3224,2
3225,2
3300,4
3323,1
3336,1
3352,3
3385,3
3393,2
3426,1
3472,2
3490,1
3500,1
3541,2
3612,2
3616,1
3643,3
3669,1
3700,2
3759,5
3760,1
3849,4
3865,2
3867,1
3877,3
3879,2
3916,1
3924,3
3943,1
3946,3
3948,2
4000,15
4011,5
4029,1
4031,2
4032,2
4045,1
4128,2
4295,1
4300,5
4436,5
4500,2
4502,1
4544,2
4560,1
4562,1
4600,7
4602,1
4632,3
4800,3
4802,1
4825,1
4900,1
5000,21
5005,1
5024,2
5101,5
5123,1
5261,1
5273,1
5334,1
5487,1
5756,2
5773,3
5888,1
6000,2
6049,1
6237,3
6297,3
6400,1
6449,1
6533,1
6622,1
7000,1
7309,1
7440,3
7500,1
7539,2
7760,1
8000,1
8601,1
8793,1
9324,4
9561,1
9801,1
9878,1
10273,1
10359,1
12020,1
12760,4
13200,2
18264,1
20000,2
20931,1
35000,1
62723,1
70000,5
