distance_ticks,count
0,7465
1,3545
2,1001
3,961
4,1273
5,547
6,320
7,237
8,292
9,305
10,249
11,273
12,337
13,239
14,276
15,70
16,37
17,24
18,34
19,41
20,89
21,48
22,74
23,36
24,25
25,20
26,8
27,12
28,14
29,5
30,3
31,7
32,7
33,15
34,10
35,15
36,9
37,2
38,1
39,5
40,4
41,10
42,4
43,3
44,4
45,2
46,3
47,2
48,5
49,5
50,4
51,1
52,3
53,2
54,2
55,2
61,1
63,2
64,1
66,1
67,2
69,3
70,1
71,1
72,1
75,3
76,2
77,2
78,1
79,13
80,4
81,6
83,2
84,2
86,1
87,2
88,6
90,3
91,2
93,1
95,6
96,1
97,14
98,7
99,1
103,1
115,3
119,3
123,3
125,20
126,17
128,1
129,4
176,1
206,1
216,2
263,1
272,1
279,1
