distance_ticks,count
0,5396
1,1120
2,353
3,420
4,403
5,159
6,102
7,75
8,86
9,79
10,62
11,68
12,60
13,68
14,75
15,49
16,75
17,321
18,172
19,24
20,47
21,23
22,17
23,33
24,29
25,41
26,27
27,10
28,32
29,60
30,10
31,7
32,5
33,10
34,5
35,9
36,3
37,5
38,4
39,4
40,3
41,5
42,5
43,9
44,3
45,3
46,6
47,3
48,7
49,11
50,17
51,19
52,37
53,59
54,117
55,25
56,21
57,17
58,7
59,17
60,26
61,41
62,78
63,51
64,18
65,7
66,12
67,10
68,9
69,7
70,26
71,63
72,137
73,170
74,271
75,172
76,47
77,7
78,8
79,6
80,1
81,5
82,4
83,2
84,1
85,1
86,3
87,2
89,2
90,2
92,2
93,1
94,3
95,4
96,1
97,2
98,1
99,1
100,2
101,3
103,2
104,2
105,4
106,2
107,4
109,1
110,1
111,5
112,2
113,4
114,2
115,1
116,1
117,4
118,1
120,1
121,2
122,2
123,5
124,2
125,10
128,3
129,1
130,2
136,1
139,3
141,4
142,1
144,4
145,10
146,3
147,1
148,1
149,5
151,3
152,6
153,2
154,1
155,2
156,1
162,1
163,1
164,1
165,8
166,6
167,2
168,1
169,7
171,1
172,3
173,1
174,3
175,4
176,6
177,4
178,6
179,10
180,3
181,14
182,8
183,8
184,7
185,17
186,14
187,26
188,86
189,154
190,123
191,70
192,36
193,25
194,16
195,9
196,1
197,1
199,1
201,1
205,4
207,1
209,3
212,3
214,3
220,2
223,2
228,1
231,1
234,1
236,3
240,3
241,1
243,1
245,4
246,1
247,1
248,2
249,1
251,1
252,2
253,1
254,3
255,1
256,1
258,1
259,3
261,1
263,2
269,1
270,2
283,1
303,1
306,1
308,1
313,1
316,1
317,1
322,1
327,1
329,2
333,1
335,1
350,1
363,1
372,1
391,1
400,1
402,1
417,1
420,1
430,1
440,3
449,3
484,1
493,22
495,1
503,20
505,1
511,3
512,1
516,1
519,1
520,5
567,1
568,20
576,20
583,19
584,1
588,4
604,1
610,3
620,3
623,3
625,1
629,1
632,1
635,3
640,1
645,3
646,3
659,22
660,1
671,1
682,1
683,1
685,1
686,21
691,1
694,20
699,1
705,23
709,1
711,26
713,1
715,1
723,25
725,2
788,1
791,2
808,2
851,1
860,1
896,2
974,2
1059,2
