quantity,count
1,95
2,45
3,25
4,21
5,20
6,13
7,8
8,12
9,20
10,23
11,8
12,20
13,9
14,3
15,4
16,6
17,10
18,6
19,9
20,9
21,8
22,12
23,6
24,4
25,16
26,12
27,4
28,3
29,5
30,8
31,2
32,9
33,8
34,10
36,7
37,7
38,6
39,8
40,5
41,4
42,1
43,3
44,5
45,4
46,7
47,3
48,1
49,4
50,10
51,5
52,4
53,5
54,6
55,8
56,3
57,1
58,2
59,3
60,8
61,4
62,8
63,4
64,1
65,1
66,4
67,8
68,6
69,4
70,7
71,1
72,7
73,2
74,3
76,1
77,1
78,4
79,2
80,2
81,6
82,5
83,4
84,1
85,1
86,1
87,4
88,6
89,2
90,4
91,2
92,6
93,2
94,6
95,6
96,5
97,6
98,2
99,6
100,1547
102,2
104,1
105,2
106,1
107,1
108,2
111,3
112,2
113,2
114,1
115,2
117,1
118,2
120,1
121,1
125,1
126,1
127,1
128,1
130,2
131,3
133,1
134,1
135,2
136,2
137,2
138,1
139,2
140,3
141,2
144,1
145,2
146,2
147,2
149,3
150,4
151,3
153,4
154,1
155,2
156,2
158,1
159,1
161,1
162,1
163,2
164,1
167,2
168,2
170,1
171,2
172,1
173,3
175,1
178,1
180,3
181,2
184,1
185,3
188,3
189,1
190,1
191,2
192,1
194,3
195,1
196,1
197,1
199,2
200,384
202,2
203,2
204,2
209,2
212,1
214,1
226,1
229,1
230,1
232,1
235,2
236,1
238,1
240,1
242,1
245,1
249,1
250,2
251,1
256,1
257,1
261,2
267,1
269,1
271,1
272,3
273,1
274,1
275,1
284,1
285,1
286,2
288,1
296,1
297,2
300,138
301,1
308,1
312,1
314,1
320,2
323,1
326,1
328,2
335,1
339,1
345,2
347,1
350,2
352,1
354,1
359,1
361,1
363,1
364,1
365,1
369,1
372,1
380,2
382,1
386,1
391,1
398,1
400,82
401,2
403,1
407,1
412,1
420,2
421,1
429,1
430,2
431,1
432,1
441,1
442,1
457,1
477,1
480,1
495,1
499,1
500,41
508,1
518,1
526,2
540,1
549,1
554,1
563,1
568,1
570,1
600,40
612,1
614,1
619,1
651,1
655,1
656,1
660,1
664,1
669,1
670,1
682,1
688,1
691,1
700,25
714,1
723,1
724,1
726,1
728,1
731,1
763,2
780,1
800,21
804,1
833,1
846,1
856,1
870,1
874,1
892,1
893,1
900,23
909,1
937,1
950,1
971,1
990,2
1000,26
1039,1
1040,1
1094,1
1098,1
1100,10
1109,1
1174,1
1200,8
1298,1
1300,4
1305,1
1400,11
1471,1
1499,1
1500,8
1600,3
1625,1
1800,4
1900,2
2000,5
2007,1
2200,2
2300,1
2500,2
2650,1
2660,1
2775,1
2800,1
2900,1
3000,7
3033,1
3200,1
3300,1
3500,1
4000,2
4080,1
4193,1
4200,1
4938,1
5025,1
9300,1
