distance_ticks,count
0,3526
1,1423
2,520
3,695
4,614
5,362
6,301
7,182
8,172
9,182
10,142
11,127
12,58
13,62
14,82
15,75
16,81
17,105
18,114
19,124
20,147
21,108
22,85
23,100
24,52
25,72
26,63
27,40
28,20
29,14
30,15
31,11
32,11
33,10
34,5
35,14
36,15
37,19
38,8
39,3
40,11
41,5
42,14
43,11
44,5
45,3
46,5
47,10
48,22
49,11
50,10
51,10
52,3
53,4
54,5
55,4
56,3
57,2
58,11
59,11
60,2
61,10
62,12
63,3
64,4
65,25
66,14
67,37
68,24
69,7
70,5
71,2
72,5
73,4
74,5
75,8
76,9
77,7
78,3
80,1
81,1
82,3
83,5
84,14
85,32
86,3
87,2
88,16
89,6
90,1
91,1
94,1
95,4
97,16
98,3
99,2
100,1
101,4
103,2
104,3
105,1
106,2
110,1
111,3
112,2
114,1
119,2
122,1
125,3
127,1
129,1
135,1
136,1
146,1
150,1
152,1
162,3
166,1
172,2
175,1
178,14
180,1
183,2
186,1
187,1
188,1
190,1
191,1
193,1
201,1
205,1
215,2
221,1
222,3
225,3
226,4
230,2
231,2
232,3
233,3
235,3
236,1
239,1
240,3
241,13
243,4
244,2
245,15
246,4
247,2
248,1
249,2
250,16
277,2
307,1
430,3
461,2
468,1
668,1
9999149,1
9999372,1
19999766,1
