distance_ticks,count
0,25705
1,6275
2,3427
3,2511
4,1864
5,1508
6,1129
7,625
8,677
9,484
10,493
11,253
12,300
13,251
14,274
15,347
16,257
17,227
18,269
19,195
20,204
21,167
22,122
23,139
24,183
25,131
26,123
27,216
28,149
29,271
30,129
31,85
32,57
33,85
34,59
35,67
36,64
37,47
38,62
39,58
40,77
41,29
42,46
43,40
44,41
45,43
46,24
47,37
48,13
49,17
50,35
51,22
52,19
53,28
54,23
55,20
56,20
57,16
58,10
59,9
60,10
61,27
62,14
63,11
64,8
65,3
66,1
67,2
68,3
69,6
70,8
71,3
72,6
73,3
74,2
75,2
76,2
77,4
78,11
79,4
80,2
81,5
82,7
83,3
84,3
85,6
86,7
87,6
88,13
89,6
90,4
91,3
92,6
93,5
94,6
95,2
96,4
97,3
98,3
99,2
100,6
101,5
102,7
103,2
104,3
105,7
106,8
107,4
108,7
109,5
110,1
111,1
112,3
113,6
114,3
115,1
116,3
117,3
118,3
119,8
120,6
121,8
122,3
123,7
124,10
125,3
126,6
127,9
128,18
129,27
130,62
131,264
132,739
133,408
134,154
135,50
136,22
137,25
138,10
139,8
140,4
141,3
142,5
143,2
144,1
145,5
146,4
147,1
148,2
149,3
150,3
151,1
152,6
153,5
154,4
155,4
156,6
157,10
158,12
159,38
160,102
161,258
162,751
163,545
164,331
165,99
166,41
167,34
168,61
169,98
170,217
171,494
172,633
173,201
174,85
175,32
176,28
177,29
178,34
179,35
180,38
181,74
182,163
183,322
184,400
185,513
186,699
187,419
188,157
189,46
190,23
191,13
192,7
193,2
194,1
196,3
197,4
198,4
200,2
201,2
202,2
203,2
204,1
206,3
208,1
209,3
211,1
212,1
215,3
216,2
217,7
218,6
219,2
220,4
221,3
222,2
223,3
226,1
229,1
230,1
232,2
233,2
235,1
236,1
237,3
240,2
241,5
242,3
243,2
244,1
245,2
246,3
247,4
248,4
249,3
250,9
252,8
254,1
255,1
256,4
257,2
258,1
261,5
262,1
264,2
265,6
266,1
267,2
268,3
269,2
270,2
271,2
277,1
278,2
280,1
282,1
284,1
285,5
286,1
287,2
288,4
289,1
290,6
291,12
292,16
293,26
294,44
295,113
296,285
297,392
298,221
299,70
300,21
301,5
302,16
303,4
304,2
305,1
306,4
307,2
310,6
311,4
313,1
314,2
317,2
318,4
319,32
320,4
322,4
323,1
325,2
326,2
327,2
330,1
338,1
339,2
340,2
342,5
343,1
347,2
349,3
351,1
352,4
353,4
354,3
355,2
356,30
359,2
360,2
361,1
362,2
363,1
365,4
366,5
367,1
368,1
369,1
370,1
373,1
380,3
383,1
385,2
388,1
390,1
391,2
392,4
393,3
395,4
396,1
397,5
400,1
401,2
402,1
404,2
405,1
406,6
409,1
415,3
418,2
420,4
428,30
432,1
435,29
436,1
441,1
444,1
447,1
450,2
451,1
452,4
453,2
457,29
477,1
487,2
494,1
496,1
497,29
502,3
518,1
519,1
520,1
537,1
543,1
544,1
552,1
554,2
568,3
569,1
572,1
578,1
581,1
584,1
588,1
602,2
606,1
607,1
613,1
616,1
622,2
632,1
641,1
652,1
677,1
682,1
692,1
702,1
707,1
708,1
717,1
718,6
738,1
747,1
750,2
752,1
790,7
792,22
802,2
820,1
833,1
848,1
850,1
864,20
874,8
875,2
876,2
877,3
884,2
900,1
901,1
908,1
918,3
920,1
931,21
952,2
988,1
1012,2
1017,1
1018,1
1022,1
1031,1
1060,22
1070,4
1076,2
1094,1
1111,1
1118,2
1120,1
1143,20
1152,1
1161,7
1166,2
1181,1
1206,1
1218,3
1220,1
1250,1
1276,31
1279,1
1290,10
1380,1
1381,4
1382,1
1383,1
1398,1
1433,1
1452,1
1481,2
1506,1
1518,1
1545,1
1571,1
1581,3
1631,1
1651,1
1681,1
1718,1
1723,1
1725,1
1757,1
1781,1
1869,1
1881,5
1920,1
2004,1
2381,1
2419,1
2447,1
2802,1
2930,1
3083,1
3852,4
3915,1
3951,2
4258,1
4320,4
4419,2
5138,1
5202,1
