distance_ticks,count
0,7524
1,4547
2,1536
3,1270
4,672
5,415
6,308
7,232
8,196
9,148
10,111
11,101
12,108
13,103
14,85
15,82
16,53
17,73
18,63
19,59
20,88
21,43
22,34
23,32
24,30
25,36
26,30
27,32
28,26
29,22
30,25
31,15
32,20
33,13
34,15
35,6
36,4
37,8
38,5
39,4
40,6
41,8
42,8
43,8
44,5
45,6
46,8
47,9
48,8
49,7
50,12
51,9
52,18
53,18
54,19
55,37
56,17
57,51
58,63
59,141
60,256
61,397
62,422
63,305
64,136
65,97
66,155
67,180
68,193
69,75
70,27
71,11
72,12
73,13
74,10
75,3
76,3
77,4
78,1
79,2
80,1
81,1
82,1
84,1
85,1
87,2
90,2
91,1
93,2
95,1
96,3
97,2
98,1
99,1
101,3
102,2
106,2
108,2
113,3
114,1
115,2
116,2
118,2
120,4
121,3
123,3
125,2
126,3
128,1
129,1
130,1
132,1
133,2
135,7
136,1
137,4
138,3
139,3
140,2
141,10
142,18
143,26
144,104
145,117
146,128
147,41
148,8
149,3
150,2
151,1
152,3
153,3
154,2
155,4
156,1
157,3
158,3
159,1
162,3
163,5
165,5
166,2
167,2
168,1
169,1
170,2
173,2
174,1
176,3
177,3
178,4
181,2
184,2
185,2
187,1
189,1
191,1
193,1
202,2
209,2
210,2
212,2
213,2
215,1
216,1
217,1
221,2
223,1
226,1
227,1
228,3
230,1
235,1
236,1
237,3
238,2
243,2
247,1
248,2
250,1
251,1
255,1
257,1
260,1
262,4
263,2
265,4
266,1
272,1
273,2
275,2
284,2
290,1
293,1
294,1
297,2
300,2
302,1
306,1
307,2
310,2
314,1
321,1
331,1
335,2
356,1
360,1
362,3
363,1
364,1
365,2
372,1
376,3
384,1
387,2
389,1
393,2
395,1
398,1
401,2
409,1
422,1
425,1
435,1
447,5
458,1
461,2
462,1
463,1
465,1
466,2
476,3
478,2
481,1
483,1
484,1
485,1
487,1
493,1
495,1
497,4
498,1
500,2
501,2
503,2
507,1
510,4
525,1
526,3
532,3
537,1
543,1
550,1
556,1
560,2
561,3
562,1
567,27
571,1
576,1
578,4
580,1
583,25
584,2
587,1
589,3
590,8
591,1
594,1
598,5
600,29
606,1
608,1
613,3
614,7
615,25
621,2
625,1
647,1
650,1
652,9
655,1
657,24
659,6
661,1
662,2
663,14
664,1
665,1
676,1
697,2
699,1
702,1
719,4
725,2
742,1
744,1
758,1
760,2
774,1
787,2
791,1
800,22
807,1
818,3
850,2
891,1
897,23
905,1
911,23
943,1
957,1
1006,1
1093,1
1107,1
1156,1
1242,1
1256,1
1305,1
1392,1
1406,1
1455,1
9997775,1
9997948,1
9997997,1
9998011,1
9998060,1
