quantity,count
1,153
2,59
3,23
4,22
5,39
6,38
7,16
8,16
9,17
10,35
11,10
12,22
13,17
14,11
15,20
16,2
17,6
18,3
19,6
20,11
21,2
22,5
23,5
24,6
25,7
26,3
27,3
28,4
29,5
30,19
31,3
32,7
33,5
34,6
35,2
36,3
37,4
38,5
39,2
40,2
41,2
43,2
44,1
45,2
46,3
48,1
49,3
50,3
51,5
52,2
53,1
54,3
55,5
56,2
57,3
59,1
60,4
61,1
62,1
63,4
64,1
65,3
66,6
67,3
68,1
69,4
70,3
71,2
72,3
74,1
75,3
76,2
77,1
78,2
80,6
81,5
83,2
84,1
85,4
86,5
87,7
88,1
89,2
90,2
91,4
92,1
93,3
94,2
95,4
96,3
97,2
98,1
99,9
100,192
104,1
108,1
112,1
114,2
115,1
120,1
138,1
145,1
159,1
161,1
185,1
188,1
198,1
199,1
200,3
202,1
249,1
287,1
300,4
317,1
466,1
