distance_ticks,count
0,1186
1,595
2,177
3,167
4,118
5,66
6,47
7,30
8,30
9,23
10,25
11,17
12,16
13,17
14,12
15,23
16,12
17,19
18,20
19,11
20,18
21,16
22,10
23,9
24,21
25,26
26,6
27,13
28,13
29,11
30,15
31,6
32,9
33,8
34,4
35,8
36,2
37,5
38,9
39,3
40,2
41,3
42,2
43,2
44,4
45,4
46,1
47,1
48,8
49,5
50,2
51,3
52,12
53,49
54,64
55,70
56,50
57,61
58,31
59,72
60,84
61,65
62,39
63,9
64,5
65,1
66,9
67,1
68,1
69,2
70,3
71,1
72,5
74,2
75,2
76,1
79,2
80,5
81,2
82,2
83,3
84,1
86,1
89,1
92,1
93,1
94,1
95,1
98,1
100,1
101,2
105,2
106,1
107,1
108,1
109,2
111,3
112,3
113,2
115,3
116,3
118,2
119,2
120,4
121,1
122,1
123,1
124,1
127,1
128,1
133,2
134,2
135,1
136,1
137,1
138,1
140,2
141,3
142,2
143,2
144,1
145,2
146,2
147,3
148,1
149,3
151,4
152,1
153,6
154,3
155,4
156,9
157,7
158,4
159,10
160,10
161,9
162,11
163,29
164,49
165,49
166,35
167,10
168,9
169,4
170,4
171,2
172,3
173,2
174,2
176,3
177,2
178,1
180,3
183,1
185,1
193,1
195,1
201,1
205,1
208,1
209,1
210,1
211,1
213,2
217,2
219,4
221,1
222,1
223,2
240,3
241,1
244,1
254,1
271,2
272,1
273,1
277,1
283,1
284,1
288,1
296,1
297,1
299,1
310,1
311,1
314,2
322,1
326,2
328,1
337,1
340,3
341,1
342,1
347,1
362,1
363,3
368,4
369,3
377,1
383,1
384,2
392,2
404,4
408,1
420,2
424,4
440,2
443,1
447,1
449,1
450,1
460,1
472,3
476,1
486,2
487,1
492,3
495,2
498,3
504,1
518,1
520,9
526,2
530,9
535,2
540,3
543,10
547,2
549,2
570,2
577,6
586,1
587,10
600,1
602,1
647,5
650,4
701,1
817,4
871,3
1232,2
1729,1
1942,1
1952,1
