distance_ticks,count
0,131803
1,11582
2,5123
3,4964
4,4529
5,4694
6,5037
7,4908
8,5105
9,5081
10,7904
11,5444
12,5224
13,5303
14,5487
15,6308
16,5620
17,5249
18,5473
19,5483
20,4770
21,4483
22,4374
23,4470
24,4318
25,4159
26,4363
27,4309
28,4415
29,4446
30,4661
31,4302
32,4296
33,4197
34,4188
35,4053
36,4056
37,4100
38,4077
39,3901
40,3877
41,3922
42,3829
43,3819
44,3819
45,3818
46,3723
47,3612
48,3741
49,3668
50,3925
51,3793
52,3754
53,3668
54,3689
55,3767
56,3638
57,3590
58,3421
59,3509
60,3576
61,3393
62,3245
63,3464
64,3311
65,3295
66,3167
67,3147
68,3187
69,3276
70,3206
71,3133
72,3177
73,3033
74,2933
75,2922
76,2936
77,2890
78,2879
79,2880
80,2832
81,2771
82,2623
83,2686
84,2644
85,2595
86,2481
87,2508
88,2530
89,2210
90,2182
91,2113
92,2086
93,2077
94,2021
95,2098
96,1791
97,1633
98,1700
99,1736
100,1933
101,1680
102,1611
103,1558
104,1486
105,1495
106,1438
107,1455
108,1496
109,1415
110,1468
111,1480
112,1376
113,1402
114,1408
115,1342
116,1346
117,1439
118,1556
119,2427
120,1255
121,1252
122,1252
123,1207
124,1254
125,1218
126,1165
127,1175
128,1187
129,1158
130,1112
131,1385
132,1172
133,1146
134,1111
135,1172
136,1162
137,1084
138,1160
139,1101
140,1085
141,1075
142,1136
143,1074
144,1046
145,971
146,1017
147,1184
148,1019
149,1065
150,1095
151,1052
152,1054
153,1211
154,1037
155,1011
156,1096
157,1024
158,1103
159,1038
160,1003
161,1221
162,1092
163,1057
164,1089
165,1056
166,1022
167,1070
168,1080
169,1091
170,1060
171,1008
172,1051
173,1050
174,1030
175,997
176,1035
177,1029
178,997
179,1003
180,994
181,1014
182,947
183,1083
184,986
185,921
186,1052
187,1006
188,965
189,919
190,932
191,905
192,896
193,858
194,874
195,849
196,892
197,852
198,873
199,841
200,965
201,907
202,817
203,832
204,760
205,764
206,783
207,725
208,731
209,750
210,744
211,688
212,748
213,702
214,685
215,696
216,672
217,622
218,663
219,624
220,644
221,630
222,654
223,605
224,646
225,664
226,699
227,720
228,690
229,723
230,642
231,606
232,655
233,625
234,516
235,516
236,569
237,578
238,505
239,473
240,494
241,459
242,499
243,520
244,460
245,447
246,484
247,434
248,426
249,424
250,514
251,415
252,439
253,412
254,449
255,420
256,450
257,429
258,367
259,410
260,386
261,396
262,390
263,371
264,360
265,381
266,359
267,347
268,366
269,325
270,323
271,380
272,349
273,345
274,324
275,390
276,329
277,322
278,343
279,306
280,316
281,346
282,318
283,323
284,298
285,333
286,332
287,308
288,279
289,296
290,306
291,233
292,236
293,292
294,291
295,251
296,292
297,254
298,300
299,268
300,467
301,271
302,265
303,233
304,238
305,273
306,265
307,228
308,245
309,257
310,250
311,229
312,253
313,246
314,223
315,235
316,280
317,216
318,246
319,302
320,276
321,206
