distance_ticks,count
0,6614
1,3593
2,786
3,532
4,358
5,354
6,267
7,240
8,175
9,173
10,154
11,291
12,142
13,111
14,110
15,124
16,144
17,128
18,294
19,131
20,252
21,179
22,77
23,105
24,96
25,63
26,68
27,48
28,50
29,31
30,48
31,56
32,30
33,32
34,46
35,57
36,55
37,51
38,43
39,36
40,27
41,20
42,28
43,34
44,23
45,27
46,21
47,27
48,36
49,28
50,21
51,21
52,15
53,18
54,15
55,16
56,31
57,15
58,22
59,22
60,24
61,21
62,15
63,25
64,15
65,10
66,22
67,18
68,14
69,14
70,11
71,10
72,11
73,15
74,12
75,15
76,14
77,10
78,9
79,11
80,17
81,18
82,9
83,14
84,17
85,15
86,8
87,10
88,19
89,11
90,17
91,14
92,13
93,18
94,13
95,15
96,15
97,18
98,12
99,14
100,19
101,12
102,14
103,14
104,13
105,10
106,7
107,7
108,7
109,10
110,11
111,10
112,6
113,5
114,6
115,5
116,10
117,6
118,11
119,9
120,8
121,6
122,10
123,3
124,3
125,2
126,3
127,5
128,5
129,3
130,6
131,5
132,7
133,4
134,2
135,5
136,7
137,4
138,9
139,3
140,10
141,11
142,3
143,3
144,4
145,8
146,4
147,2
148,5
149,4
150,4
151,13
152,12
153,15
154,9
155,7
156,10
157,15
158,34
159,33
160,11
161,26
162,50
163,49
164,33
165,24
166,11
167,8
168,10
169,6
170,3
171,6
172,9
173,3
174,5
175,8
176,6
177,10
178,3
179,3
180,8
181,6
182,8
183,4
184,9
185,6
186,9
187,23
188,15
189,12
190,16
191,16
192,11
193,13
194,18
195,20
196,22
197,34
198,54
199,107
200,136
201,126
202,83
203,48
204,27
205,23
206,10
207,13
208,5
209,17
210,5
211,9
212,13
213,8
214,19
215,11
216,9
217,4
218,8
219,14
220,5
221,10
222,9
223,18
224,8
225,23
226,21
227,32
228,35
229,22
230,27
231,33
232,88
233,220
234,314
235,255
236,186
237,55
238,56
239,33
240,27
241,19
242,22
243,18
244,15
245,20
246,20
247,19
248,32
249,33
250,30
251,35
252,53
253,75
254,136
255,307
256,368
257,265
258,134
259,87
260,75
261,69
262,78
263,70
264,72
265,40
266,34
267,39
268,26
269,46
270,16
271,32
272,13
273,13
274,6
275,10
276,14
277,12
278,14
279,7
280,8
281,5
282,4
283,2
284,5
285,2
286,3
287,2
288,2
289,1
290,1
291,1
292,3
293,2
294,1
295,4
297,10
298,1
299,3
300,1
303,1
306,2
307,1
308,1
309,1
310,2
315,2
317,3
318,2
319,1
320,4
322,2
325,2
328,1
329,2
331,1
332,2
334,2
335,1
337,1
341,1
346,3
351,1
358,1
359,1
364,2
367,1
368,1
369,1
371,1
375,1
376,1
377,1
383,1
384,2
385,2
386,1
388,1
390,2
391,1
396,2
397,2
401,5
403,1
408,1
409,2
410,1
411,1
413,3
414,3
415,6
416,4
417,1
418,4
419,9
420,3
421,5
422,2
423,11
424,29
425,28
429,3
430,24
431,3
432,7
434,7
435,5
436,1
438,2
439,3
440,3
441,3
442,8
443,6
444,4
445,8
446,8
447,6
448,10
449,10
450,10
451,15
452,44
453,76
454,124
455,175
456,243
457,280
458,321
459,301
460,243
461,191
462,105
463,78
464,56
465,55
466,45
467,25
468,25
469,31
470,16
471,11
472,7
473,5
474,11
475,9
476,7
477,5
478,4
479,2
480,5
481,2
482,5
484,1
485,2
491,2
492,1
493,3
494,6
495,1
496,3
497,1
498,1
503,3
504,2
505,1
508,2
513,2
515,2
517,2
520,1
521,2
526,1
527,1
529,1
530,1
534,3
535,1
541,1
542,1
548,1
553,1
555,1
559,2
560,1
568,1
591,3
594,3
609,1
610,1
612,2
617,1
618,1
619,1
620,1
623,2
624,7
625,5
646,1
653,2
654,1
656,1
661,1
676,1
678,3
682,1
684,2
690,3
692,2
701,1
730,1
732,1
738,2
760,2
761,3
763,1
767,1
774,1
787,1
788,1
791,1
800,2
802,3
806,3
809,1
817,1
818,1
823,1
834,2
835,3
852,1
862,1
879,1
897,1
910,1
927,6
949,1
956,1
957,1
974,2
977,3
1018,3
1030,3
1110,1
1118,1
1122,1
1151,1
1201,3
1225,1
1233,1
1253,1
1262,1
1263,1
1268,1
1289,1
1375,1
1382,1
1400,2
1405,1
1445,3
1450,3
1492,1
1507,3
1542,29
1549,2
1579,1
1590,48
1607,1
1618,1
1619,1
1655,9
1656,2
1657,1
1674,3
1687,3
1772,1
1820,1
1829,2
1870,1
1871,1
1897,1
1922,6
1951,1
1986,5
2023,2
2113,3
2120,1
2152,3
2245,3
2296,3
2357,1
2378,6
2387,1
2492,1
2545,29
2579,6
2792,3
3016,1
3307,1
4128,1
