quantity,count
1,447
2,190
3,126
4,53
5,86
6,38
7,29
8,38
9,37
10,114
11,24
12,21
13,17
14,28
15,38
16,13
17,36
18,20
19,15
20,94
21,24
22,30
23,20
24,20
25,21
26,20
27,17
28,11
29,17
30,20
31,16
32,14
33,19
34,16
35,7
36,13
37,31
38,14
39,9
40,17
41,10
42,13
43,9
44,11
45,12
46,13
47,8
48,14
49,15
50,78
51,5
52,12
53,5
54,10
55,7
56,6
57,9
58,10
59,65
60,5
61,5
62,6
63,10
64,8
65,4
66,18
67,6
68,4
69,8
70,5
71,6
72,2
73,8
74,21
75,7
76,9
77,6
78,12
79,11
80,16
81,3
82,7
83,8
84,4
85,9
86,7
87,11
88,10
89,6
90,12
91,10
92,7
93,6
94,12
95,16
96,13
97,16
98,12
99,30
100,784
101,1
102,1
103,1
111,2
112,1
113,2
115,2
118,2
120,1
121,1
125,1
126,1
129,1
135,1
136,1
137,1
138,1
140,3
142,1
144,1
145,1
147,1
148,1
149,1
150,2
152,1
153,2
156,1
158,2
160,1
163,2
165,1
166,2
174,1
179,2
185,1
188,3
190,2
191,1
192,1
195,1
197,4
199,1
200,43
203,1
206,1
207,1
212,1
215,1
218,1
222,1
224,2
234,1
236,1
239,1
249,1
250,1
252,1
256,1
260,1
262,1
263,1
266,2
270,1
288,1
294,1
300,13
303,1
306,2
329,1
342,1
356,1
357,1
371,1
387,1
397,1
400,3
401,1
476,1
482,1
490,1
496,1
500,5
513,1
600,2
662,1
688,1
700,4
900,1
995,1
1001,1
1190,1
1283,1
1792,1
2000,1
2500,1
2900,1
