quantity,count
1,120
2,25
3,6
4,6
5,15
6,3
7,3
8,1
9,4
10,12
11,7
12,5
13,8
14,8
15,23
16,13
17,19
18,28
19,13
20,19
21,10
22,7
23,24
24,7
25,5
26,3
27,4
28,6
29,4
30,465
31,5
32,22
33,2
34,15
35,6
36,3
37,7
38,1
39,8
40,5
41,9
42,9
43,6
44,1
45,7
46,8
47,3
48,6
49,10
50,20
51,2
52,1
53,2
54,11
55,7
56,3
57,5
58,1
59,5
60,9
61,2
62,13
63,10
64,3
65,34
66,17
68,4
69,10
70,1
71,1
72,2
73,3
75,2
76,2
77,3
78,7
79,5
80,13
81,7
82,6
83,1
84,8
85,9
86,2
87,10
88,5
90,2
92,2
93,4
94,2
95,2
96,1
98,6
99,6
100,10274
101,1
102,1
103,1
104,1
107,1
109,3
110,2
111,3
112,1
113,7
116,2
119,1
120,1
123,4
124,1
125,3
127,1
128,29
132,1
133,6
134,3
135,1
138,2
143,1
144,8
146,1
150,28
151,1
156,1
158,2
159,4
161,1
167,3
168,1
169,1
178,1
179,2
182,1
185,1
188,1
189,33
193,1
194,1
198,2
199,3
200,2032
201,2
210,1
214,2
215,1
225,1
230,3
231,1
232,1
242,1
244,1
250,7
252,60
259,2
262,2
268,1
272,1
283,12
290,1
292,1
296,1
300,846
310,2
313,1
315,1
316,1
319,1
320,1
326,1
327,2
349,1
350,7
352,2
354,1
360,3
370,1
387,1
389,2
393,1
395,13
396,1
398,1
400,186
402,2
408,1
409,2
410,24
411,1
412,2
413,6
415,3
416,1
417,7
419,1
420,16
421,3
427,2
428,1
430,52
431,4
432,6
433,2
435,5
438,2
440,12
441,1
442,2
444,1
445,1
447,1
450,25
451,1
452,3
454,4
455,1
458,2
459,1
460,33
461,5
468,6
469,1
470,15
471,2
472,7
474,2
477,8
478,6
480,12
481,1
483,1
484,1
485,1
490,18
492,1
493,2
494,4
495,1
498,2
500,258
504,5
506,1
510,1
530,1
542,1
545,2
550,2
551,20
580,1
591,1
600,175
607,1
609,1
616,1
645,1
653,1
656,1
678,1
700,354
703,1
713,1
718,1
728,1
746,1
750,2
776,1
799,1
800,108
810,1
811,1
830,1
838,1
845,1
850,2
868,1
873,2
900,11
949,1
1000,225
1079,1
1090,1
1100,83
1200,110
1243,2
1250,1
1300,172
1343,1
1375,1
1400,70
1500,22
1524,1
1550,1
1600,1
1750,1
1800,5
1808,1
1900,5
1950,1
2000,26
2015,1
2200,1
2250,1
2300,3
2400,2
2500,1
2619,1
2764,1
2800,12
2900,1
3200,26
3459,1
3473,1
3500,12
3900,1
4000,1
4300,1
4400,78
4600,1
4730,1
4800,1
4900,16
5000,2
6025,1
7000,1
10000,4
15000,2
15052,1
