quantity,count
1,77
2,49
3,7
4,6
5,6
6,4
7,11
8,4
9,6
10,22
11,6
12,13
14,16
15,4
16,5
17,16
18,6
19,15
20,101
21,4
22,3
23,1
25,1
27,3
28,2
29,3
30,11
31,15
32,2
33,1
35,5
36,3
38,5
39,5
40,43
41,6
42,2
46,2
47,2
49,2
50,1
51,27
54,1
56,3
57,3
58,1
59,11
60,20
63,1
64,1
66,1
67,1
69,1
70,167
71,1
72,1
74,1
76,1
78,11
80,16
83,1
84,2
85,5
86,6
88,17
90,17
91,1
92,2
94,1
95,1
97,9
99,2
100,3314
101,1
120,13
140,3
144,1
146,1
151,1
152,1
160,3
161,1
163,1
180,4
185,1
190,26
196,1
200,161
250,1
300,42
308,1
318,1
400,4
500,10
515,1
600,14
700,57
815,1
900,1
1000,8
1294,1
1500,1
3000,1
5000,1
