distance_ticks,count
0,7104
1,2783
2,1064
3,804
4,701
5,617
6,482
7,386
8,339
9,277
10,270
11,208
12,206
13,194
14,205
15,195
16,192
17,184
18,195
19,163
20,180
21,138
22,125
23,100
24,118
25,96
26,81
27,69
28,73
29,69
30,55
31,55
32,56
33,82
34,58
35,81
36,113
37,184
38,162
39,139
40,91
41,61
42,61
43,84
44,92
45,197
46,293
47,255
48,110
49,61
50,71
51,51
52,55
53,62
54,85
55,129
56,217
57,211
58,160
59,150
60,98
61,69
62,46
63,85
64,126
65,193
66,174
67,80
68,40
69,28
70,27
71,16
72,14
73,13
74,8
75,12
76,7
77,4
78,7
79,9
80,7
81,6
82,3
83,9
84,7
85,2
86,4
87,6
88,2
89,1
90,5
91,5
92,7
93,9
94,7
95,3
96,1
97,7
98,2
99,6
100,8
101,9
102,3
103,8
104,4
105,5
106,3
107,5
108,6
109,4
110,2
111,6
112,6
113,8
114,2
115,3
116,1
117,2
118,3
120,3
121,5
122,3
123,5
124,3
125,2
126,4
127,1
128,1
130,3
131,1
132,4
133,3
134,4
135,8
136,2
137,3
138,1
139,4
140,10
141,6
142,6
143,12
144,2
145,14
146,22
147,26
148,23
149,23
150,37
151,41
152,67
153,113
154,204
155,278
156,302
157,187
158,74
159,34
160,19
161,11
162,10
163,7
164,2
165,7
166,4
167,2
168,3
169,1
170,3
172,5
173,1
174,1
175,2
176,4
181,3
183,1
184,1
186,1
187,1
190,2
193,1
196,1
197,1
198,1
208,1
213,1
214,2
218,1
222,2
225,2
226,2
232,4
235,2
248,1
251,2
257,2
262,1
263,1
266,1
273,1
274,1
277,2
285,1
292,1
309,1
320,1
328,1
331,2
333,2
334,1
336,1
342,1
343,1
348,1
350,2
351,1
357,21
362,6
364,21
366,2
367,1
370,4
372,5
383,1
384,1
402,2
404,1
411,1
412,1
418,1
429,1
447,2
462,2
464,1
475,1
477,1
486,3
499,2
505,1
507,3
508,1
511,1
518,2
524,4
526,12
527,2
528,1
529,22
530,1
533,15
534,1
537,1
538,5
544,1
545,3
549,1
552,7
553,1
554,1
558,10
559,1
562,12
563,2
567,1
570,10
571,1
579,1
585,3
595,1
596,1
606,1
617,1
621,1
623,1
632,2
634,26
636,1
640,1
646,26
660,1
677,1
792,1
1197,1
1475,1
1505,1
1769,1
2000,1
2089,1
2104,1
