quantity,count
1,555
2,143
3,160
4,42
5,395
6,12
7,8
8,40
9,94
10,247
11,44
12,32
13,72
14,24
15,68
16,60
17,54
18,67
19,32
20,64
21,68
22,21
23,16
24,26
25,41
26,13
27,30
28,17
29,35
30,433
31,8
32,10
33,4
34,7
35,4
36,16
37,2
38,5
39,13
40,29
41,8
42,11
43,1
44,32
45,2
46,3
47,1
48,4
49,5
50,35
51,10
52,4
54,3
55,2
56,6
57,6
58,1
59,6
60,18
61,3
62,4
63,18
64,2
67,3
68,4
69,2
70,5
71,3
72,2
73,1
75,6
76,2
77,3
78,4
79,1
80,30
81,1
82,2
83,1
84,2
85,2
86,6
88,1
89,1
90,6
93,1
94,4
95,36
96,7
98,6
99,4
100,21575
101,7
102,49
105,3
107,1
112,1
115,57
117,5
118,64
120,1
124,66
126,2
127,1
130,3
131,1
132,3
133,1
139,4
141,2
142,24
143,22
144,1
145,1
146,1
147,1
149,1
150,3
151,1
155,7
166,1
169,1
170,3
171,1
175,2
176,2
178,1
182,1
185,1
190,1
191,1
196,2
197,1
199,1
200,2295
207,1
209,1
211,1
212,1
213,4
217,1
225,1
226,1
240,1
250,43
255,1
263,1
265,1
268,1
274,1
287,1
295,2
296,2
300,332
310,1
325,1
329,1
342,3
343,1
350,1
363,2
371,1
372,1
374,1
380,2
400,285
401,1
407,1
431,1
447,1
450,1
452,1
463,1
500,241
511,1
550,1
560,1
575,2
599,1
600,48
660,2
685,1
700,165
750,2
800,84
801,1
900,35
1000,73
1028,1
1036,1
1100,2
1135,1
1200,5
1268,1
1300,20
1342,1
1400,1
1500,3
1588,4
1600,2
1800,3
1889,1
2000,16
2285,4
2300,2
2500,2
2700,1
3000,1
3600,1
5000,1
5600,1
6500,2
