distance_ticks,count
0,16789
1,2043
2,778
3,651
4,495
5,418
6,557
7,446
8,367
9,356
10,447
11,665
12,451
13,410
14,367
15,351
16,322
17,265
18,241
19,300
20,280
21,296
22,348
23,534
24,591
25,559
26,409
27,351
28,356
29,153
30,126
31,256
32,209
33,53
34,50
35,55
36,77
37,79
38,69
39,75
40,75
41,42
42,27
43,20
44,26
45,47
46,122
47,47
48,42
49,27
50,20
51,14
52,19
53,12
54,11
55,24
56,11
57,17
58,19
59,19
60,29
61,36
62,24
63,19
64,35
65,23
66,7
67,17
68,8
69,4
70,6
72,2
73,4
74,4
75,5
76,5
77,4
78,13
79,3
80,5
82,4
83,4
84,8
85,3
86,4
87,8
88,10
89,7
90,9
91,16
92,18
93,17
94,22
95,33
96,69
97,130
98,141
99,152
100,205
101,125
102,93
103,126
104,187
105,334
106,135
107,116
108,143
109,310
110,429
111,605
112,514
113,151
114,53
115,43
116,34
117,17
118,18
119,8
120,8
121,4
122,5
123,2
124,4
125,1
126,3
130,3
131,2
134,2
135,1
138,2
139,1
142,2
144,2
145,2
146,3
147,5
148,1
150,1
153,2
155,4
156,2
157,2
158,1
167,2
168,1
169,1
172,1
173,2
174,4
175,1
176,2
179,1
188,6
189,1
190,2
194,1
195,1
196,1
198,1
199,2
202,1
203,1
204,3
205,2
206,1
207,1
208,1
215,2
220,2
222,2
225,9
226,3
227,2
228,2
229,1
230,2
232,3
233,1
234,2
235,2
237,2
238,1
239,2
241,1
242,1
243,2
245,5
246,6
248,1
249,3
250,4
251,7
252,17
253,14
254,21
255,18
256,20
257,6
258,6
259,1
260,1
262,3
263,1
275,1
277,1
284,1
285,1
286,1
288,1
289,2
291,1
292,5
293,1
294,3
295,4
296,4
297,5
298,2
299,2
300,2
301,1
302,3
303,2
304,3
305,2
306,6
307,6
308,18
309,13
310,56
311,118
312,133
313,160
314,108
315,161
316,146
317,137
318,96
319,55
320,16
321,23
322,8
323,4
324,4
325,1
326,2
327,1
328,1
331,2
338,1
340,5
342,1
347,1
348,2
349,2
351,1
358,2
359,1
362,3
365,3
366,1
368,6
371,1
375,4
377,1
383,1
394,1
395,2
397,1
415,1
419,3
424,1
440,1
441,1
444,1
447,1
450,3
451,1
455,1
465,2
472,1
477,1
481,1
483,1
492,1
498,1
531,1
534,3
543,1
552,3
563,1
566,1
572,1
581,1
615,1
620,1
653,1
666,1
678,1
696,1
697,1
706,1
710,1
715,1
726,1
731,1
736,1
741,1
756,1
766,1
771,1
781,1
800,3
802,1
805,1
807,1
808,1
818,2
819,1
824,1
826,3
833,1
835,1
836,1
848,3
852,2
874,3
876,1
881,1
886,1
908,1
911,7
913,38
918,5
919,1
920,1
921,9
922,1
926,1
931,19
936,1
938,1
939,1
944,3
946,8
953,19
962,8
968,1
971,19
991,1
993,1
1006,2
1015,1
1017,19
1026,1
1029,27
1038,19
1042,3
1070,2
1100,1
1115,1
1139,1
1143,1
1167,27
1176,1
1215,1
1400,1
1441,2
1528,1
1576,1
1600,1
1626,1
3312,1
