distance_ticks,count
0,214
1,6
2,2
3,4
4,5
5,11
6,3
7,1
11,1
12,1
13,4
14,6
15,5
16,5
17,1
18,2
19,4
20,4
21,5
22,4
23,4
24,1
25,8
26,8
28,3
30,4
31,2
32,3
33,3
34,4
35,4
36,14
38,1
39,1
40,1
41,6
42,5
43,5
44,7
45,3
46,8
47,1
48,3
50,1
51,4
53,3
55,3
56,10
57,19
58,13
59,3
60,3
62,13
64,2
65,1
66,2
71,1
74,3
78,1
80,3
81,4
83,3
84,1
85,5
86,7
88,3
90,1
94,19
99,24
100,25
101,1
103,1
104,1
105,1
107,3
108,2
110,1
112,2
115,16
116,3
117,1
120,3
121,2
123,1
125,2
126,1
131,1
132,1
134,22
135,1
139,1
145,1
149,1
152,1
154,1
160,1
168,1
177,1
181,1
184,1
185,2
193,1
198,1
200,1
201,2
203,1
204,3
209,2
211,2
212,3
221,1
224,1
225,21
228,22
232,1
234,22
235,31
243,22
284,1
321,1
350,1
379,1
395,1
420,1
484,1
485,1
629,1
645,1
671,1
898,1
19999184,1
