distance_ticks,count
0,9055
1,2804
2,689
3,2200
4,677
5,357
6,199
7,183
8,243
9,146
10,160
11,123
12,84
13,33
14,36
15,29
16,35
17,24
18,23
19,21
20,28
21,25
22,15
23,15
24,18
25,27
26,24
27,13
28,16
29,10
30,6
31,2
32,6
33,10
34,13
35,30
36,15
37,37
38,14
39,4
40,4
41,7
42,1
43,2
44,4
45,2
47,3
48,8
49,3
50,6
51,4
52,1
53,1
54,2
55,2
56,1
57,5
58,5
59,1
60,2
61,2
62,1
63,1
64,1
67,2
70,2
71,2
72,1
73,4
75,1
76,5
77,2
78,2
79,1
80,4
81,5
82,4
84,1
87,8
88,32
89,31
90,28
91,3
93,6
94,6
95,2
96,28
97,3
98,30
99,12
100,1
101,6
103,9
106,1
107,1
109,1
110,3
113,1
114,1
115,3
116,2
117,1
118,2
119,3
122,1
123,3
124,2
125,1
126,8
129,4
130,1
134,2
136,1
137,10
138,2
139,28
141,8
142,1
144,7
146,2
147,1
148,7
149,1
150,1
151,2
154,2
158,2
159,1
161,1
168,2
169,4
173,4
176,3
179,2
182,1
183,2
189,1
194,5
198,6
199,1
201,1
209,1
210,1
213,1
215,1
219,3
223,2
232,1
239,1
244,1
245,1
248,1
258,1
276,1
294,2
298,2
348,1
358,1
373,1
376,1
390,1
394,1
398,2
401,1
458,1
476,1
494,1
498,2
570,1
676,1
698,1
891,1
899,1
942,1
999,1
1173,1
1397,1
1673,1
1691,1
1694,1
1699,1
