quantity,count
1,58
2,14
3,31
4,8
5,25
6,5
7,10
8,5
9,5
10,24
11,5
12,4
13,3
14,2
15,5
16,2
17,2
18,10
19,7
20,22
21,3
22,7
23,5
24,3
25,19
26,3
27,5
28,8
29,4
30,16
31,3
32,10
33,8
34,5
35,13
36,4
37,3
38,7
39,7
40,7
41,3
42,5
43,3
44,3
45,3
46,4
47,2
48,3
49,2
50,53
51,6
53,3
54,6
55,5
56,2
57,5
58,2
59,1
60,9
61,1
63,1
66,5
69,1
70,3
71,1
73,1
74,2
75,3
76,3
79,1
80,7
81,1
82,7
85,1
87,2
88,2
90,9
91,7
94,9
96,13
97,1
98,3
99,10
100,10011
101,3
103,1
108,1
109,1
110,2
116,2
118,5
119,3
120,1
122,3
125,2
126,1
128,3
130,2
131,1
132,1
133,2
134,2
135,1
136,2
138,3
146,2
147,1
149,1
150,10
152,4
160,2
162,2
171,1
175,2
176,3
178,1
181,3
183,1
187,1
188,2
189,1
193,1
195,1
196,7
200,2975
204,3
214,1
218,1
220,1
226,2
230,1
232,1
236,9
242,1
250,22
263,1
275,1
288,3
297,1
300,1547
302,2
304,3
305,1
306,1
310,11
320,8
323,1
324,4
325,1
328,7
330,7
331,2
335,5
336,1
337,1
339,1
340,13
344,52
350,11
353,7
360,5
365,1
370,5
371,1
380,3
385,6
386,5
390,6
396,1
397,2
400,1578
408,1
410,21
412,25
417,2
418,1
420,10
423,1
424,10
425,3
429,1
430,15
432,1
434,1
435,1
437,1
438,1
440,30
441,3
445,3
449,2
450,21
454,2
460,14
466,1
470,20
475,3
476,1
477,1
478,2
480,16
482,4
487,1
489,4
490,17
494,8
495,5
499,25
500,602
502,1
525,1
542,1
547,1
550,2
551,10
561,1
587,3
590,1
598,2
600,564
610,1
618,4
625,1
631,1
633,3
640,1
641,1
644,1
650,1
654,1
660,1
678,1
680,3
700,274
707,1
709,38
710,1
729,1
730,1
731,1
734,2
748,1
750,2
756,1
757,1
760,3
770,1
788,13
800,301
810,2
814,9
835,1
840,2
850,2
854,1
860,3
871,3
877,2
886,1
889,15
890,1
900,129
910,1
924,1
940,4
960,2
977,5
980,1
1000,404
1015,2
1026,20
1100,167
1150,1
1200,96
1250,1
1251,1
1275,2
1298,2
1300,33
1348,1
1392,1
1399,1
1400,54
1450,1
1500,69
1600,96
1633,1
1700,69
1800,104
1866,1
1900,10
1999,1
2000,137
2100,32
2126,1
2131,3
2138,1
2144,1
2145,1
2200,30
2255,1
2300,34
2400,3
2434,1
2500,23
2600,2
2700,2
2753,6
2800,6
2900,9
2925,1
3000,20
3100,1
3258,1
3300,5
3338,1
3400,1
3500,7
3600,4
3610,1
3900,1
3999,1
4000,11
4100,3
4168,1
4300,3
4400,1
4500,3
4600,4
4700,1
4800,4
4830,1
5000,33
5118,1
5200,1
5286,1
5327,1
5679,2
5700,1
5900,1
6000,1
6100,1
6300,7
6500,3
6600,1
6618,1
6700,1
6900,1
7000,1
7200,24
7500,1
7800,1
8000,4
8400,14
8500,24
8860,1
8900,7
9000,3
9300,1
9500,1
10000,8
10100,3
10777,2
20000,1
25680,1
34693,1
50000,1
50900,1
101657,1
