quantity,count
1,157
2,79
3,133
4,39
5,270
6,10
7,19
8,69
9,179
10,40
11,39
12,95
13,15
14,49
15,1
16,148
17,2
18,60
19,4
20,103
21,7
22,134
23,76
24,6
25,36
26,71
27,85
28,4
29,1
30,41
31,2
32,10
33,3
34,17
35,52
36,36
37,4
38,1
39,1
40,12
41,222
42,5
43,2
44,14
45,20
46,8
47,22
48,9
49,17
50,47
51,330
52,4
53,3
54,53
55,4
56,4
57,2
58,4
59,1
60,14
61,1
62,1
63,23
64,1
65,6
68,12
70,3
71,4
73,4
74,1
77,1
78,1
79,1
80,29
81,31
83,3
84,8
85,9
86,5
88,23
89,106
90,24
91,7
92,64
93,6
94,13
95,64
96,31
97,39
98,18
99,9
100,12345
102,99
104,1
108,27
111,24
113,5
115,1
116,5
117,18
118,79
120,19
121,6
122,13
128,1
131,1
133,7
135,15
141,1
142,10
148,14
150,3
155,1
172,1
184,1
187,3
190,3
198,1
200,103
201,28
210,3
211,1
221,1
300,85
400,3979
434,3
446,12
451,2
452,4
482,29
500,53
600,6
700,1
800,1
900,1
3000,2
