quantity,count
1,222
2,4329
3,36
4,30
5,270
6,31
7,41
8,19
9,16
10,49
11,14
12,29
13,11
14,11
15,44
16,20
17,2
18,12
19,6
20,12
21,7
22,24
23,4
24,5
25,4
26,3
27,3
28,9
29,10
30,156
31,3
32,2
33,4
34,6
35,2
36,2
38,2
39,4
40,22
41,1
42,2
43,1
44,2
45,2
46,1
47,1
48,1
49,1
50,9
52,3
55,5
56,4
58,1
59,1
60,1
61,97
62,1
63,2
64,9
65,22
68,1
69,3
70,8
71,1
72,1
74,2
75,1
76,7
77,3
78,3
79,3
80,61
82,1
85,2
86,4
87,21
88,1
89,1
91,1
94,4
95,16
97,1
98,1
99,3
100,17302
102,1
109,1
110,10
113,1
118,78
121,1
122,2
132,5
133,4
136,6
139,1
141,3
143,2
144,1
150,3
151,1
162,6
171,2
176,1
177,1
181,1
183,2
190,1
191,1
192,1
193,5
194,1
195,92
196,4
197,2
198,22
200,1429
201,67
215,27
226,47
228,30
238,11
240,1
250,2
257,1
263,1
269,1
300,450
307,2
355,7
377,1
394,1
400,88
450,1
492,1
500,81
600,10
630,1
700,43
701,1
800,2
806,1
900,4849
1000,7
1050,1
1100,9
1195,1
1200,3
1400,4
1435,1
2302,2
2335,2
3000,1
7000,8
8900,1
10000,33
20000,2
