quantity,count
1,263
2,104
3,110
4,44
5,289
6,53
7,34
8,26
9,49
10,229
11,26
12,13
13,18
14,20
15,181
16,30
17,26
18,45
19,45
20,577
21,31
22,33
23,21
24,32
25,87
26,43
27,63
28,153
29,45
30,1094
31,17
32,40
33,24
34,12
35,6
36,29
37,5
38,5
39,6
40,64
41,2
42,1
43,3
44,5
45,13
46,2
47,1
48,5
49,11
50,34
51,15
52,6
53,4
54,7
55,9
56,2
57,8
58,5
59,6
60,19
61,9
62,3
63,4
64,15
65,12
66,20
67,14
68,19
69,8
70,72
71,6
72,4
73,15
74,4
75,2
76,4
77,9
78,2
79,5
80,8
81,14
82,20
83,12
84,6
85,7
86,16
87,2
88,5
89,7
90,41
91,4
92,17
93,4
94,11
95,53
96,18
97,58
98,9
99,23
100,31752
101,3
102,4
103,1
104,3
105,1
106,1
108,8
109,183
110,2
112,2
113,1
114,3
115,1
120,1
122,1
123,39
126,1
129,2
130,1
132,6
134,1
135,1
140,47
141,1
147,3
150,1
151,2
158,1
159,2
160,2
161,1
162,43
163,77
171,1
175,1
176,1
179,2
180,1
182,2
183,1
185,1
188,1
195,1
197,3
200,1396
209,1
226,3
230,1
240,1
245,1
250,1
260,76
262,1
264,105
268,55
270,1
273,1
282,5
287,38
295,1
300,669
302,50
305,10
317,2
325,1
356,1
360,1
365,1
400,143
419,2
443,1
449,1
480,2
500,106
581,2
597,1
599,1
600,20
670,1
700,54
720,1
794,2
800,5
900,9
960,1
1000,41
1001,1
1200,1
2100,1
8855,1
