quantity,count
1,1268
2,287
3,103
4,210
5,466
6,76
7,116
8,93
9,50
10,618
11,58
12,86
13,79
14,47
15,765
16,42
17,74
18,87
19,47
20,227
21,36
22,83
23,33
24,51
25,72
26,46
27,63
28,62
29,96
30,1019
31,13
32,10
33,10
34,57
35,9
36,119
37,15
38,13
39,17
40,31
41,28
42,17
43,8
44,19
45,19
46,56
47,4
48,46
49,21
50,209
51,6
52,11
53,9
54,65
55,18
56,18
57,10
58,49
59,16
60,102
61,7
62,25
63,17
64,17
65,8
66,5
67,14
68,10
69,4
70,119
71,11
72,60
73,8
74,28
75,46
76,9
77,19
79,6
80,29
81,24
82,8
83,21
84,4
85,7
86,2
87,25
88,5
89,52
90,21
91,3
92,7
93,1
94,14
95,8
96,12
97,9
98,20
99,13
100,51424
101,16
102,3
103,4
104,4
105,105
107,2
109,2
110,5
111,4
112,3
114,237
115,1
117,111
118,5
119,1
120,9
121,57
122,1
123,2
124,54
125,6
128,5
129,85
132,2
133,3
135,4
136,33
137,1
139,1
140,36
142,1
145,3
146,1
147,7
150,20
152,1
153,1
155,4
160,5
162,1
166,6
167,1
168,2
171,1
172,1
174,1
175,1
176,3
177,1
180,6
182,1
183,1
184,2
186,2
188,1
190,9
194,5
195,1
200,1973
201,8
202,1
203,11
204,2
208,2
210,17
216,2
220,2
221,3
226,1
230,16
232,1
233,1
238,2
240,14
250,7
264,3
268,2
275,1
280,1
288,1
292,1
294,1
300,599
303,2
315,1
321,1
322,4
323,3
325,1
350,1
368,1
396,1
399,2
400,87
402,1
437,1
485,1
500,122
546,1
600,42
631,1
683,2
685,1
700,76
722,1
729,1
750,1
800,11
839,2
900,10
950,1
1000,48
1100,4
1177,1
1200,2
1256,1
1500,1
2000,25
