distance_ticks,count
0,1320
1,609
2,301
3,112
4,84
5,56
6,82
7,53
8,27
9,29
10,14
11,10
12,18
13,20
14,18
15,26
16,19
17,18
18,27
19,34
20,28
21,21
22,19
23,23
24,15
25,13
26,27
27,15
28,17
29,16
30,14
31,5
32,10
33,19
34,15
35,15
36,10
37,7
38,10
39,14
40,12
41,4
42,4
43,9
44,9
45,12
46,11
47,11
48,11
49,8
50,6
51,2
52,2
53,7
54,1
55,2
56,8
57,3
58,9
59,10
60,10
61,10
62,10
63,10
64,3
65,1
66,2
67,3
68,4
69,8
70,5
71,1
73,4
74,2
75,2
76,4
77,1
79,4
80,2
82,3
83,2
84,2
85,1
86,2
88,3
89,2
90,1
91,1
92,1
93,2
94,2
95,3
97,7
98,2
99,4
100,1
101,2
102,4
103,3
104,2
105,3
106,3
107,4
108,2
109,3
110,2
111,4
112,4
113,8
114,7
115,3
116,9
117,6
118,8
119,3
120,5
121,7
122,20
123,26
124,29
125,32
126,20
127,16
128,26
129,28
130,21
131,19
132,45
133,106
134,69
135,38
136,9
137,4
138,7
139,6
140,7
141,2
142,4
143,1
144,5
145,3
146,2
148,1
149,2
150,8
152,2
153,6
154,1
155,1
156,1
157,1
158,2
159,2
160,4
162,1
164,1
165,2
166,1
168,3
171,4
172,1
173,5
174,4
175,5
177,1
178,4
181,2
182,2
184,1
185,1
186,1
187,3
188,1
189,1
190,1
191,1
192,2
194,1
196,2
197,1
199,1
202,1
203,1
204,2
205,1
206,1
208,1
209,2
210,1
211,1
213,1
214,1
216,2
222,1
223,2
224,4
225,4
226,1
228,1
229,5
238,3
239,2
241,2
242,1
246,1
247,2
248,1
253,3
255,1
259,2
260,2
262,1
263,1
264,2
266,2
267,2
270,2
271,3
272,1
275,2
279,1
280,1
281,2
282,2
287,2
290,2
293,3
294,2
295,4
296,1
298,2
300,1
301,2
314,2
315,2
317,1
318,2
322,1
323,1
324,1
326,1
327,1
328,2
329,2
330,3
331,2
332,2
333,1
334,2
335,1
336,2
337,3
338,2
339,3
340,2
341,2
342,8
343,8
344,12
345,26
346,40
347,64
348,110
349,88
350,64
351,32
352,13
353,16
354,14
355,3
356,5
357,15
358,7
359,5
360,1
361,1
362,5
363,8
364,3
365,4
366,3
367,1
368,4
369,9
370,3
371,4
373,3
374,3
375,12
376,3
377,3
379,1
380,4
385,2
386,1
389,1
391,2
392,1
399,1
400,1
401,1
405,1
406,3
407,1
408,3
409,1
413,1
420,1
428,1
429,1
430,1
431,5
435,1
436,3
448,1
450,1
451,1
452,1
455,2
458,1
459,1
460,3
462,1
469,3
470,1
473,1
474,3
479,1
482,1
489,1
498,2
509,1
510,3
511,2
512,1
517,3
519,1
521,2
527,1
528,2
533,3
546,1
547,1
554,1
557,2
565,2
568,1
576,2
582,1
584,1
589,1
591,3
592,1
594,1
599,1
600,1
603,6
615,3
620,1
622,1
626,1
631,1
632,1
633,2
638,1
639,1
640,1
656,1
669,1
670,1
672,1
686,1
697,1
702,1
708,2
714,1
715,2
716,1
732,3
744,3
752,2
757,1
765,2
771,1
793,1
827,1
837,1
844,1
845,1
849,1
866,3
868,3
974,2
978,3
991,1
1052,1
1071,1
1072,1
1089,1
1098,1
1111,1
1112,1
1147,1
1150,1
1154,1
1158,2
1166,3
1176,3
1185,1
1186,3
1204,3
1231,16
1233,3
1236,7
1240,15
1249,11
1277,1
1287,1
1288,22
1293,7
1311,10
1312,12
1317,4
1341,7
1354,8
1414,6
1432,2
1434,7
1486,2
1539,3
1610,1
1651,1
2619,1
