quantity,count
1,244
2,68
3,23
4,15
5,259
6,18
7,16
8,8
9,64
10,81
11,9
12,11
13,13
14,38
15,14
16,56
17,4
18,27
19,8
20,17
21,2
22,31
23,5
24,10
25,7
26,2
27,7
28,10
29,8
30,138
31,6
32,1
33,2
34,9
35,1
37,6
38,9
39,9
40,1
41,6
42,3
43,5
44,4
45,9
46,10
47,2
48,3
50,9
51,3
52,5
54,2
55,1
58,2
59,1
60,1
61,2
62,10
64,1
65,1
66,7
67,4
69,1
70,120
72,6
73,2
75,2
76,3
77,14
78,26
79,4
80,1
81,1
82,1
83,5
84,1
85,4
87,6
88,1
89,2
90,8
91,2
92,1
93,1
94,2
95,5
96,12
97,2
98,8
99,2
100,18408
101,2
102,15
103,2
104,1
108,1
109,97
112,85
113,3
119,1
120,39
121,2
123,1
124,53
126,30
127,3
128,3
131,1
132,8
133,4
134,1
136,5
137,2
138,5
140,6
143,1
144,1
145,1
146,1
148,1
150,1
155,1
161,4
162,1
165,1
167,2
175,1
181,1
189,2
192,3
196,1
200,289
225,2
240,1
243,1
300,86
378,2
400,12
500,12
550,1
600,45
700,13
950,1
1003,1
2500,1
3000,1
3425,1
6000,1
