quantity,count
1,1313
2,379
3,202
4,208
5,410
6,109
7,66
8,62
9,160
10,1862
11,199
12,105
13,85
14,42
15,125
16,143
17,91
18,70
19,64
20,313
21,97
22,68
23,53
24,39
25,64
26,74
27,65
28,60
29,58
30,55
31,79
32,84
33,29
34,18
35,21
36,30
37,21
38,27
39,23
40,64
41,36
42,84
43,24
44,14
45,100
46,33
47,32
48,42
49,30
50,235
51,22
52,27
53,34
54,26
55,19
56,22
57,22
58,14
59,26
60,64
61,35
62,22
63,24
64,15
65,26
66,11
67,16
68,13
69,249
70,148
71,23
72,24
73,31
74,12
75,41
76,21
77,35
78,13
79,21
80,117
81,15
82,13
83,17
84,18
85,11
86,21
87,24
88,20
89,13
90,113
91,46
92,57
93,27
94,36
95,19
96,20
97,8
98,29
99,33
100,61400
101,17
102,43
103,12
104,15
105,48
106,52
107,23
108,11
109,8
110,83
111,1021
112,307
113,138
114,51
115,58
116,131
117,38
118,126
119,91
120,39
121,17
122,105
123,154
124,7
125,8
126,13
127,6
128,76
129,9
130,25
131,8
132,7
133,16
134,19
135,22
136,45
137,7
138,19
139,2
140,40
141,5
142,10
143,3
144,9
145,8
146,4
147,3
148,6
149,7
150,37
151,3
152,2
153,8
154,3
155,3
156,2
157,9
158,4
159,21
160,11
161,5
162,5
163,5
164,12
165,3
166,9
167,3
168,11
169,1
170,2
171,1
172,2
173,9
174,1
175,6
176,7
177,2
178,4
179,2
180,16
181,2
182,1
183,4
184,13
185,1
186,8
187,2
188,13
190,2
191,7
193,1
195,4
199,1
200,3855
201,6
203,1
204,1
205,1
207,1
209,8
210,28
213,2
215,1
218,2
220,2
224,1
225,19
228,6
230,2
231,91
232,159
238,126
240,6
244,6
246,1
249,1
250,19
255,48
256,1
259,3
260,2
262,3
264,220
265,1
268,3
272,1
275,4
277,1
279,8
285,2
286,3
293,1
296,1
297,1
299,2
300,691
304,1
306,1
318,3
323,2
326,1
328,1
331,1
336,3
340,3
345,2
347,1
353,1
354,2
355,4
359,2
360,1
375,1
380,2
383,3
384,2
387,1
388,1
390,3
393,2
400,425
402,1
430,1
432,2
446,1
475,1
480,2
490,1
500,183
505,2
513,2
520,3
532,1
539,4
550,1
555,1
572,1
585,1
591,1
594,1
599,1
600,348
632,1
636,1
640,2
649,1
650,1
670,1
671,1
699,1
700,28
720,1
773,1
785,2
800,21
840,2
875,1
880,2
900,51
960,1
982,1
1000,21
1003,1
1027,1
1052,1
1056,1
1100,2
1125,1
1161,1
1167,1
1200,4
1300,12
1343,1
1357,1
1375,1
1384,1
1400,5
1408,1
1414,1
1465,2
1500,4
1507,1
1514,1
1552,1
1600,1
1650,1
1700,7
1731,1
1750,2
1900,2
2000,61
2100,1
2200,1
2400,1
2600,1
3000,2
3200,1
3500,1
5400,1
11200,1
14615,2
