quantity,count
1,87
2,16
3,9
4,7
5,39
6,4
7,13
8,9
9,3
10,68
11,6
12,11
13,4
14,9
15,2
16,3
17,6
18,5
19,1
20,8
21,2
22,5
23,5
24,6
25,4
26,6
27,2
28,3
29,3
30,8
31,3
32,3
34,3
35,5
36,4
37,4
38,1
39,5
40,3
41,5
42,2
43,2
44,5
45,3
46,2
47,4
48,4
49,3
50,15
51,3
52,9
53,3
54,3
55,2
56,12
57,5
58,4
59,3
60,8
61,6
62,6
63,1
64,2
65,4
66,1
67,1
69,3
70,4
71,1
72,2
73,2
74,7
75,4
76,5
77,2
78,4
79,4
80,2
81,2
82,3
83,4
84,2
85,2
86,3
87,1
88,1
89,4
90,10
91,2
92,3
93,3
94,1
95,12
96,2
97,3
98,5
99,9
100,305
101,3
102,1
103,2
104,1
106,1
111,1
116,1
121,1
125,1
128,1
136,1
138,2
141,1
143,1
145,1
148,1
161,1
162,1
168,1
169,1
179,1
189,1
192,1
194,1
197,1
200,32
205,1
223,1
262,1
266,1
284,1
297,1
300,14
314,1
326,1
350,1
400,9
406,1
431,1
487,1
500,5
560,1
573,1
600,2
624,1
642,1
692,1
700,2
742,1
752,1
858,1
913,1
1000,1
1022,1
1090,1
1100,1
1186,1
1300,1
1400,1
1632,1
1800,2
1900,1
3100,1
