quantity,count
1,24
2,8
3,3
4,7
5,62
7,8
8,1
9,6
10,12
12,7
15,18
16,1
17,1
19,3
20,5
21,3
22,9
23,2
24,2
25,25
26,9
27,4
28,4
29,4
30,74
31,21
32,1
35,5
36,3
37,6
38,3
39,7
40,1
43,10
44,1
45,2
48,3
49,1
50,28
57,4
60,4
63,1
64,1
65,1
68,5
69,4
70,7
73,6
75,2
76,2
79,3
80,3
81,3
82,1
86,1
87,1
89,2
90,2
91,1
92,3
95,1
96,3
98,1
99,2
100,6962
102,1
104,2
107,11
110,1
111,7
113,1
120,2
123,2
124,1
131,1
138,1
141,4
149,5
150,1
167,1
180,2
183,2
186,1
194,4
198,1
199,2
200,527
211,1
215,2
220,1
229,1
248,6
264,1
289,4
290,1
296,12
298,3
300,286
320,1
358,1
370,2
400,4
420,1
425,1
450,1
500,29
550,1
558,3
595,1
600,5
620,1
650,1
700,1
725,1
800,146
900,3
930,1
976,1
995,1
1000,81
1065,1
1200,1
1408,1
1500,1
1600,1
1700,1
2000,2
2017,1
2100,1
2300,2
3000,2
4151,1
4386,2
7150,1
7500,1
9858,1
