quantity,count
1,156
2,62
3,37
4,28
5,46
6,25
7,10
8,15
9,18
10,26
11,7
12,12
13,13
14,11
15,14
16,4
17,8
18,12
19,5
20,12
21,8
22,9
23,8
24,6
25,11
26,10
27,7
28,11
29,12
30,14
31,11
32,15
33,8
34,7
35,5
36,12
37,8
38,8
39,14
40,15
41,8
42,10
43,4
44,13
45,23
46,9
47,6
48,8
49,4
50,13
51,6
52,5
53,4
54,10
55,22
56,6
57,2
58,7
59,6
60,7
61,7
62,7
63,7
64,8
65,2
66,7
67,3
68,4
69,8
70,12
71,4
72,5
73,5
74,4
75,4
76,5
77,8
78,7
79,3
80,10
81,9
82,4
83,3
84,3
85,6
86,9
87,4
88,3
89,4
90,10
91,6
92,5
93,2
94,9
95,8
96,9
97,1
98,17
99,15
100,1325
101,2
102,2
103,2
105,1
108,1
109,1
110,2
113,1
115,3
116,1
118,2
119,3
122,1
123,4
126,1
127,3
130,2
132,1
135,3
136,2
137,2
139,1
142,1
145,2
146,2
147,1
150,1
153,2
154,1
155,1
156,1
158,1
159,2
161,1
162,1
163,1
165,1
166,1
168,6
170,1
171,1
172,1
173,2
177,3
179,2
180,1
181,1
182,2
183,1
184,2
185,1
187,1
189,1
190,2
191,2
192,1
195,1
197,1
198,2
199,1
200,124
205,1
206,1
207,1
211,1
216,1
219,1
224,2
230,1
231,1
239,1
250,2
270,1
273,2
277,1
288,1
293,1
295,1
298,2
300,30
303,2
309,1
315,2
325,2
327,1
330,1
339,1
340,1
350,1
353,1
355,1
374,1
379,1
381,1
382,1
383,1
385,2
390,2
394,1
398,1
400,13
402,1
405,1
408,1
427,1
432,1
463,1
473,1
493,1
500,17
537,1
600,5
700,7
794,1
797,1
800,6
900,3
985,1
1000,4
1063,1
1200,1
1300,2
1400,1
1699,1
1800,1
1852,1
