quantity,count
1,17
2,6
3,2
4,11
5,31
6,10
7,5
8,9
9,1
10,37
11,3
12,8
13,5
14,5
15,62
16,10
17,12
18,6
19,16
20,24
21,10
22,12
23,8
24,14
25,4
26,4
27,12
28,8
29,8
30,306
31,1
33,2
35,2
36,3
37,3
38,6
39,3
40,11
41,2
42,5
43,2
44,1
45,7
46,3
47,3
48,3
49,3
50,36
51,2
52,3
53,4
54,2
55,22
56,4
57,4
58,4
59,1
60,26
61,2
62,2
63,2
64,3
66,3
68,2
70,29
72,1
73,1
74,1
76,4
79,2
80,11
81,3
82,2
83,2
84,4
85,1
87,2
89,5
90,17
91,3
92,4
93,5
94,2
95,3
96,9
97,3
98,9
99,5
100,6672
101,7
102,3
103,2
104,3
106,1
107,2
108,4
109,1
112,2
114,1
118,1
125,1
130,1
142,1
150,2
156,1
170,1
179,1
182,1
186,1
195,1
197,2
198,2
199,1
200,516
225,4
250,3
255,2
295,1
300,114
335,1
350,1
355,1
379,1
400,61
435,2
500,80
600,56
610,1
698,1
700,91
745,1
750,1
756,8
800,85
900,1
915,1
1000,15
1100,1
1407,1
1500,31
1600,38
1700,4
1800,1
2000,6
2100,1
2200,1
2500,4
2504,1
2700,1
3000,5
4000,2
5000,1
