quantity,count
1,2456
2,666
3,368
4,260
5,365
6,246
7,94
8,187
9,67
10,520
11,62
12,91
13,103
14,83
15,660
16,62
17,152
18,115
19,54
20,189
21,141
22,72
23,54
24,113
25,94
26,123
27,118
28,103
29,111
30,1290
31,38
32,33
33,91
34,19
35,25
36,18
37,35
38,13
39,43
40,49
41,23
42,38
43,35
44,24
45,28
46,26
47,24
48,23
49,21
50,110
51,29
52,17
53,26
54,14
55,21
56,38
57,25
58,18
59,15
60,110
61,23
62,24
63,22
64,13
65,43
66,3
67,14
68,9
69,24
70,49
71,24
72,130
73,10
74,186
75,25
76,11
77,5
78,5
79,12
80,18
81,90
82,65
83,31
84,53
85,16
86,6
87,35
88,39
89,6
90,3
91,8
92,20
93,10
94,10
95,14
96,10
97,8
98,89
99,41
100,46032
101,3
102,3
103,6
104,10
105,11
106,1
107,3
108,5
109,9
110,4
111,4
112,8
113,4
114,2
115,4
116,1
117,4
119,3
120,2
123,1
124,1
125,3
126,1
127,1
128,1
129,2
131,1
132,1
133,4
138,4
139,2
140,7
141,8
144,7
145,5
146,3
149,1
150,36
151,3
152,2
154,1
163,1
165,1
167,6
169,8
170,2
171,1
172,2
174,8
175,1
176,1
177,1
178,47
179,1
181,1
182,2
183,2
186,2
188,2
192,1
193,1
194,1
197,2
198,1
199,1
200,1097
202,1
210,1
223,2
228,1
232,1
250,6
255,1
258,1
280,1
295,1
299,2
300,431
327,1
328,1
363,1
373,2
375,1
400,3274
450,2
458,1
459,1
460,1
480,3
500,71
536,1
563,1
564,1
600,56
603,1
605,1
632,1
636,1
700,50
712,1
733,1
749,1
750,2
752,3
764,2
765,1
770,1
780,1
795,1
800,12
801,1
804,1
820,1
823,1
848,1
900,9
940,1
956,1
977,1
1000,49
1027,1
1050,2
1060,1
1100,14
1200,2
1300,3
1384,1
1400,6
1428,1
1500,5
1600,3
1622,1
1700,1
1900,1
2000,31
2300,1
2500,1
2600,2
5714,1
