quantity,count
1,790
2,101
3,95
4,40
5,360
6,21
7,46
8,68
9,64
10,205
11,55
12,31
13,74
14,61
15,286
16,112
17,114
18,101
19,73
20,179
21,52
22,31
23,26
24,45
25,39
26,23
27,53
28,47
29,39
30,666
31,10
32,136
33,3
34,6
35,133
36,8
37,18
38,2
39,57
40,59
41,16
42,8
43,2
44,30
45,3
46,10
47,11
48,33
49,13
50,275
51,4
52,36
53,10
54,12
55,11
56,2
57,5
58,5
59,9
60,7
61,15
62,25
63,5
64,2
65,2
66,4
67,3
68,1
69,8
70,5
71,21
72,4
74,34
75,24
76,9
78,3
80,29
81,4
82,23
83,2
84,1
85,10
86,8
87,3
88,7
89,5
90,6
92,2
93,5
94,5
95,1
96,3
97,6
98,23
99,8
100,22340
102,1
110,43
116,2
119,12
120,20
126,5
127,7
130,7
131,1
140,15
153,4
154,2
155,1
156,80
160,27
180,61
191,1
200,1733
202,1
204,1
210,1
216,1
236,1
260,2
294,1
298,2
300,520
306,1
311,1
385,1
387,1
400,119
470,1
500,150
587,1
599,1
600,39
615,1
700,112
750,1
769,1
794,1
800,73
856,1
1000,52
1500,2
1600,1
2000,2
2400,1
4054,1
