distance_ticks,count
0,8350
1,4388
2,2350
3,1870
4,1871
5,1716
6,1584
7,1402
8,1234
9,988
10,862
11,531
12,364
13,317
14,407
15,654
16,646
17,510
18,414
19,439
20,416
21,282
22,195
23,176
24,168
25,115
26,80
27,71
28,95
29,111
30,107
31,82
32,70
33,63
34,69
35,60
36,41
37,42
38,39
39,36
40,15
41,22
42,25
43,31
44,31
45,15
46,15
47,13
48,24
49,9
50,7
51,4
52,11
53,22
54,10
55,6
56,7
57,4
58,19
59,10
60,10
61,7
62,10
63,9
64,9
65,15
66,19
67,35
68,65
69,150
70,322
71,306
72,297
73,143
74,43
75,25
76,25
77,21
78,32
79,37
80,61
81,98
82,155
83,229
84,265
85,321
86,213
87,116
88,33
89,21
90,9
91,6
92,8
93,7
94,7
95,5
96,4
97,14
98,5
99,7
100,6
101,12
102,19
103,36
104,50
105,91
106,124
107,130
108,76
109,34
110,6
111,5
112,3
113,3
114,2
116,3
117,3
118,1
120,1
121,1
122,1
123,1
124,1
125,4
128,1
133,1
136,2
137,3
139,1
140,3
141,2
142,1
156,2
157,1
160,1
161,1
164,2
165,4
167,2
168,2
170,2
171,1
172,1
174,1
175,1
176,2
178,1
179,2
183,1
184,1
186,1
188,1
189,3
190,2
191,2
192,1
193,1
194,2
195,3
200,1
202,2
203,2
204,1
207,1
209,3
210,2
213,2
214,4
215,11
216,16
217,24
218,43
219,46
220,80
221,113
222,161
223,139
224,68
225,35
226,10
227,10
228,4
229,3
237,2
238,2
240,1
241,1
246,3
248,1
249,2
254,1
256,1
259,1
260,1
262,2
270,1
275,1
280,3
281,3
282,4
285,1
286,4
292,1
293,1
295,2
296,1
297,2
298,2
299,5
300,3
301,2
302,3
303,3
304,2
305,6
306,3
307,5
308,1
309,6
310,4
312,4
313,2
314,1
315,2
319,1
321,1
324,3
327,3
334,4
344,1
356,1
359,1
360,1
361,1
367,1
369,1
370,3
371,1
378,2
379,1
382,1
383,1
384,1
393,3
412,2
414,2
420,1
429,3
430,3
434,1
441,1
455,1
459,2
468,1
470,1
486,1
494,2
507,1
513,1
517,1
530,1
534,1
536,2
545,1
550,2
556,2
572,3
584,1
585,1
588,3
589,1
592,1
598,1
620,2
648,3
681,2
688,1
695,1
700,3
712,7
724,1
736,3
737,2
738,1
748,1
749,3
766,1
803,1
811,19
814,8
825,1
841,1
860,1
881,5
885,2
931,1
947,2
978,1
997,1
1030,3
1041,7
1054,27
1106,1
2349,1
2821,1
2963,1
3492,1
