quantity,count
1,298
2,55
3,35
4,15
5,500
6,6
7,36
8,14
9,66
10,224
11,37
12,37
13,75
14,54
15,42
16,19
17,12
18,15
19,10
20,77
21,13
22,40
23,46
24,39
25,49
26,50
27,49
28,8
29,13
30,142
31,17
32,12
33,7
34,25
35,7
36,2
37,7
38,39
39,4
40,5
41,3
42,1
43,8
44,7
45,4
46,2
47,4
48,6
50,21
51,4
52,21
53,6
54,3
56,3
57,2
58,3
60,3
61,9
62,1
63,5
65,3
66,6
67,2
68,3
69,2
70,3
71,1
73,5
74,1
75,4
76,1
77,3
78,4
79,3
80,6
81,2
83,4
85,9
87,1
88,2
90,7
95,9
96,2
97,42
98,2
99,1
100,19071
101,1
102,6
103,3
107,2
108,1
109,13
110,1
111,2
114,3
115,1
116,1
117,1
118,1
119,152
121,1
122,1
123,1
124,51
125,3
126,1
128,1
133,29
135,3
136,42
137,23
140,6
142,1
144,1
147,5
149,5
150,58
151,1
154,4
158,1
161,4
163,1
165,1
166,1
167,1
168,13
174,8
176,1
177,5
179,5
183,5
184,1
187,7
189,2
193,1
198,3
199,4
200,662
204,1
210,1
212,2
214,1
217,1
219,2
220,1
225,1
227,1
242,2
243,4
244,3
247,1
249,1
250,5
260,1
265,5
268,1
272,2
277,1
279,2
283,1
290,2
299,1
300,177
303,5
304,5
309,1
312,3
321,1
333,11
334,9
335,1
336,1
352,3
357,5
361,1
362,1
377,2
386,1
399,1
400,47
484,1
500,73
501,1
523,2
598,2
600,72
667,2
700,27
722,1
795,2
800,3
884,1
900,51
960,1
1000,7
1052,3
1092,1
1100,4
1115,2
1141,2
1160,1
1270,1
1333,5
1500,2
1667,1
1720,1
2000,2
2300,2
2500,5
3000,7
5000,1
