distance_ticks,count
0,5246
1,3958
2,795
3,467
4,329
5,263
6,223
7,203
8,167
9,182
10,130
11,116
12,148
13,97
14,97
15,123
16,100
17,119
18,108
19,106
20,85
21,79
22,67
23,62
24,70
25,72
26,85
27,57
28,43
29,51
30,37
31,51
32,45
33,37
34,32
35,38
36,36
37,33
38,47
39,40
40,40
41,44
42,32
43,33
44,31
45,28
46,39
47,27
48,25
49,21
50,22
51,26
52,27
53,12
54,32
55,9
56,16
57,18
58,15
59,9
60,16
61,14
62,18
63,18
64,14
65,4
66,3
67,11
68,7
69,2
70,4
71,2
72,7
73,13
74,6
75,7
76,8
77,5
78,5
79,5
80,5
81,16
82,8
83,6
84,12
85,2
86,4
87,3
88,4
89,7
90,5
91,10
92,10
93,8
94,8
95,6
96,13
97,5
98,5
99,4
100,3
101,2
102,11
103,7
104,3
105,8
106,6
107,8
108,7
109,1
110,4
111,3
112,1
113,3
114,2
115,5
116,4
117,3
119,1
120,3
121,3
122,3
123,3
124,5
126,1
128,1
130,4
132,2
133,2
137,2
138,1
139,1
141,3
143,1
144,4
145,4
146,1
147,1
149,6
151,2
156,1
157,4
158,2
160,3
161,1
162,1
163,2
164,2
165,1
166,4
167,1
168,1
169,3
170,2
171,2
172,1
173,1
174,4
175,2
176,4
177,4
178,1
179,1
180,3
181,3
183,4
184,1
185,1
186,3
187,3
188,3
189,2
190,3
191,1
192,6
193,3
194,1
195,5
196,1
197,1
198,1
199,3
200,3
201,3
202,6
203,6
204,8
205,18
206,12
207,10
208,8
209,9
210,14
211,8
212,17
213,9
214,23
215,32
216,54
217,80
218,127
219,130
220,70
221,47
222,82
223,93
224,120
225,116
226,67
227,54
228,37
229,59
230,104
231,127
232,109
233,57
234,59
235,24
236,20
237,25
238,59
239,128
240,156
241,161
242,82
243,29
244,24
245,27
246,10
247,14
248,5
249,5
250,5
251,1
252,9
253,3
254,3
255,5
256,7
257,8
258,26
259,11
260,2
261,5
262,1
264,3
265,3
266,1
268,1
273,1
276,6
277,2
278,1
279,1
290,2
291,1
292,1
294,1
295,1
300,3
305,1
306,1
310,1
313,1
315,1
317,1
320,1
323,1
325,1
328,1
330,1
331,2
332,1
333,1
335,1
341,1
343,1
346,2
349,1
350,1
356,1
358,1
360,3
362,1
364,2
367,1
370,3
371,1
372,4
389,2
398,1
400,1
401,1
402,1
404,1
411,1
412,1
417,1
425,1
426,1
438,1
442,1
444,3
448,1
454,3
464,3
468,1
473,1
477,1
480,1
482,2
484,1
485,1
487,1
493,1
497,1
502,2
503,2
505,6
513,1
514,2
516,1
521,1
522,1
523,1
530,1
531,1
532,1
536,1
539,1
540,1
541,2
545,1
554,1
558,1
559,1
560,2
561,1
563,1
565,1
566,7
567,1
568,4
569,3
570,2
571,2
572,8
573,3
574,10
575,13
576,8
577,4
578,6
579,7
580,3
581,6
582,13
583,5
584,5
585,4
586,2
587,4
588,4
589,1
591,2
592,2
593,3
594,1
595,3
597,3
598,3
599,7
600,8
601,7
602,10
603,12
604,16
605,16
606,17
607,18
608,22
609,15
610,10
611,21
612,11
613,21
614,14
615,20
616,35
617,78
618,112
619,237
620,317
621,309
622,152
623,109
624,46
625,19
626,22
627,9
628,7
629,6
630,5
631,6
632,4
633,5
634,6
635,5
636,3
637,8
638,10
639,7
640,9
641,7
642,7
643,8
644,5
650,1
651,1
669,1
682,3
683,1
684,1
685,1
691,1
693,1
702,1
703,1
705,1
712,2
754,1
772,1
775,1
786,3
796,1
800,2
804,1
808,3
821,1
852,2
855,1
856,1
898,1
900,1
901,1
913,1
920,1
943,1
944,1
957,3
970,1
971,1
978,1
980,1
996,3
1003,1
1010,1
1034,1
1053,1
1060,1
1089,1
1108,1
1110,1
1116,2
1120,1
1131,1
1134,1
1135,1
1138,4
1140,1
1163,1
1194,1
1196,1
1205,2
1226,1
1281,1
1285,1
1317,1
1364,3
1368,1
1373,1
1375,1
1379,3
1386,2
1439,1
1441,1
1469,1
1488,1
1546,1
1612,3
1616,1
1635,6
1695,1
1794,1
1858,1
1859,1
1865,2
1880,7
1905,2
1986,1
1990,1
2023,3
2064,1
2090,1
2099,29
2109,1
2127,1
2130,1
2132,1
2133,29
2155,3
2157,1
2172,30
2191,1
2217,5
2219,14
2268,22
2270,1
2280,8
2324,3
2442,5
2498,1
2549,12
2561,6
2564,1
2573,2
2575,1
2631,12
2639,1
2657,1
2692,1
2737,8
2813,2
2850,3
3097,2
3434,1
3635,2
5053,1
7299,1
9992530,1
9992602,1
