quantity,count
1,284
2,62
3,11
4,19
5,399
6,36
7,13
8,38
9,20
10,147
11,14
12,84
13,16
14,28
15,59
16,48
17,40
18,203
19,28
20,15
21,1
22,49
23,2
24,2
25,2
26,17
27,46
28,26
29,2
30,13
31,8
32,2
33,10
34,2
35,1
36,11
37,22
38,12
39,21
40,10
42,2
43,3
44,1
45,2
46,1
47,7
48,2
50,4
52,5
53,56
54,30
55,104
58,1
60,2
61,7
63,1
64,1
65,17
66,4
67,35
70,42
71,2
74,55
75,1
76,2
77,1
79,5
80,1
85,2
87,2
88,29
90,7
91,34
92,13
93,103
94,1
95,7
97,4
98,9
99,6
100,19141
102,61
106,1
126,1
136,8
137,22
146,1
150,1
153,2
166,4
169,12
187,17
200,170
234,1
291,1
300,2523
400,47
500,14
1000,1
