quantity,count
1,710
2,216
3,130
4,90
5,139
6,42
7,41
8,45
9,35
10,136
11,30
12,22
13,27
14,32
15,78
16,27
17,23
18,19
19,29
20,164
21,13
22,13
23,17
24,19
25,13
26,18
27,11
28,10
29,11
30,49
31,8
32,11
33,15
34,13
35,10
36,11
37,12
38,8
39,13
40,34
41,8
42,8
43,8
44,5
45,15
46,7
47,9
48,8
49,10
50,26
51,6
52,8
53,7
54,8
55,8
56,9
57,6
58,7
59,2
60,23
61,7
62,4
63,5
64,5
65,6
66,14
67,12
68,8
69,4
70,14
71,6
72,11
73,9
74,7
75,5
76,11
77,9
78,9
79,6
80,23
81,8
82,5
83,7
84,7
85,16
86,6
87,4
88,6
89,4
90,11
91,7
92,4
93,14
94,4
95,9
96,6
97,8
98,11
99,30
100,624
104,1
110,3
111,1
117,1
123,1
127,2
128,1
129,2
130,2
135,1
136,1
142,2
145,1
149,1
153,1
158,1
162,1
165,1
167,1
173,1
174,1
175,1
180,1
183,1
187,1
192,1
195,1
198,1
200,9
201,1
205,1
220,1
223,1
250,1
261,2
270,1
294,1
300,8
315,1
358,1
390,1
400,3
500,1
600,1
644,1
