quantity,count
1,110
2,9
3,23
4,12
5,163
6,8
7,8
8,8
9,2
10,65
11,6
12,5
13,4
14,3
15,52
16,2
17,16
18,2
19,5
20,4
21,3
22,4
23,3
24,7
25,13
26,3
27,4
28,3
29,3
30,250
32,1
33,2
34,5
35,2
36,1
37,3
38,4
39,1
40,50
41,3
42,2
43,1
44,1
45,1
46,3
47,1
48,3
49,7
50,9
51,1
52,3
55,1
56,2
57,10
58,10
59,1
60,1
62,1
63,1
64,1
66,1
67,3
68,2
69,27
70,115
72,4
73,1
75,1
80,21
82,11
85,4
86,5
87,11
88,2
89,3
90,6
91,1
92,4
93,3
94,1
95,6
96,3
97,4
98,2
99,5
100,8451
103,2
104,3
110,1
112,1
114,1
123,25
125,33
130,5
134,1
143,1
160,1
161,4
163,1
167,1
173,2
176,1
178,1
191,1
192,1
200,585
235,18
240,1
250,5
251,2
271,20
280,20
283,1
291,19
299,10
300,144
332,4
335,11
350,1
377,2
400,77
430,1
446,1
500,190
546,2
561,1
600,45
627,2
646,1
658,4
670,1
700,4
746,1
900,4
997,2
1000,34
1200,10
1256,1
1300,15
1400,1
1600,2
1700,12
2000,8
2905,2
3000,1
3019,2
3300,1
3501,1
3882,1
4000,2
4912,1
5000,8
5446,1
6300,1
6382,1
10000,1
