quantity,count
1,20
2,3
3,12
4,2
5,223
6,8
7,9
8,4
9,3
10,8
11,1
12,2
13,13
14,2
15,17
16,1
18,7
19,2
20,12
22,24
23,3
24,5
25,3
26,3
27,7
29,3
30,46
33,2
34,3
35,3
36,1
38,1
40,25
41,11
42,2
43,3
44,3
45,6
46,4
47,12
48,5
49,12
50,13
51,1
52,3
54,2
55,10
57,8
58,3
59,3
60,4
61,1
62,2
65,3
66,3
67,6
68,4
69,2
70,5
71,4
73,1
75,1
76,3
77,2
78,3
79,2
80,3
81,1
82,3
85,2
87,1
88,28
89,3
92,1
93,16
94,1
95,1
96,1
97,1
98,1
99,22
100,6830
103,1
110,17
111,2
112,8
114,1
119,1
120,1
121,1
127,1
131,1
132,4
135,1
150,1
156,1
162,1
163,1
170,1
178,1
181,1
190,2
200,332
236,1
242,1
250,1
258,2
275,1
290,3
297,7
299,1
300,144
306,1
375,5
400,13
490,2
500,104
501,1
524,42
564,7
600,68
649,1
700,211
780,1
800,20
874,1
980,2
1000,9
1103,1
1293,1
1300,1
1500,3
2000,1
2797,1
2900,5
2940,1
3675,1
4083,1
4900,1
5880,1
6000,1
7350,1
9800,1
10000,6
11760,1
14700,1
