distance_ticks,count
0,3564
1,2381
2,780
3,418
4,248
5,199
6,149
7,215
8,103
9,92
10,71
11,85
12,64
13,77
14,59
15,82
16,59
17,67
18,44
19,35
20,24
21,23
22,35
23,41
24,18
25,30
26,30
27,20
28,12
29,19
30,16
31,13
32,25
33,16
34,13
35,31
36,23
37,12
38,17
39,17
40,11
41,13
42,16
43,16
44,12
45,25
46,11
47,11
48,10
49,10
50,9
51,6
52,9
53,5
54,13
55,8
56,10
57,8
58,8
59,7
60,4
61,4
62,2
63,7
64,3
65,6
66,10
67,11
68,8
69,2
70,6
72,7
73,14
74,2
75,1
76,3
77,3
78,4
79,4
80,5
81,4
82,1
83,4
84,6
85,4
86,3
87,2
88,8
89,13
90,6
91,6
92,8
93,9
94,8
95,17
96,22
97,34
98,68
99,124
100,171
101,102
102,37
103,18
104,7
105,6
106,2
107,6
108,2
109,5
110,3
111,6
112,10
113,4
114,2
115,5
116,4
117,6
118,2
119,4
120,6
121,5
122,10
123,3
124,3
125,3
126,4
127,18
128,17
129,28
130,38
131,66
132,129
133,173
134,73
135,26
136,7
137,5
138,8
139,5
140,6
141,3
142,4
143,3
144,6
145,3
146,4
147,2
148,4
150,3
152,2
153,1
155,1
157,1
159,1
160,2
162,1
164,1
166,1
169,1
192,1
198,3
201,2
202,2
212,5
213,1
214,2
215,1
216,1
217,1
218,1
219,1
220,1
222,2
223,2
224,2
225,1
226,2
227,2
229,2
230,3
232,1
233,2
234,2
237,1
238,3
239,1
240,1
241,2
242,1
243,1
244,2
245,1
247,2
248,1
250,4
251,1
253,1
255,3
262,3
267,2
268,3
269,1
271,1
274,1
284,1
285,1
287,2
289,1
298,1
301,1
302,1
306,1
308,5
309,1
312,2
319,2
321,1
324,1
330,1
331,1
332,3
333,1
334,1
335,1
337,5
344,1
346,1
347,1
348,1
349,1
350,1
352,3
353,4
354,1
355,1
356,1
359,5
360,1
361,4
362,3
364,5
365,7
366,7
367,11
368,7
369,6
370,7
371,5
372,8
373,13
374,25
375,50
376,80
377,141
378,197
379,195
380,208
381,86
382,18
383,14
384,11
385,5
386,8
387,11
388,8
389,5
390,4
391,2
392,4
393,3
394,5
395,2
397,11
399,1
400,1
403,1
404,1
405,1
407,1
409,1
411,1
414,1
419,1
421,2
423,1
425,1
428,1
432,1
433,1
446,1
448,1
451,1
459,3
462,3
465,1
470,1
478,2
481,1
487,1
490,2
495,1
497,1
498,1
507,3
510,1
520,1
522,1
523,1
542,1
564,1
567,1
571,1
589,3
593,3
594,1
595,2
611,3
615,1
617,1
623,1
643,1
652,1
674,1
675,1
677,1
679,2
680,1
686,1
688,3
693,1
763,1
773,3
786,1
829,2
860,1
865,1
871,1
873,1
889,1
890,4
895,1
900,1
943,4
952,5
968,1
971,6
976,16
1006,1
1013,1
1018,3
1039,1
1040,7
1102,2
1103,2
1113,4
1163,1
1180,3
1187,1
1213,1
1278,2
1319,1
1320,1
1370,5
1394,1
1474,3
1538,5
3148,1
3643,1
