quantity,count
1,176
2,21
3,3
4,3
5,155
7,2
10,17
11,1
13,4
14,1
15,1
17,3
18,2
20,7
25,1
27,1
28,8
30,36
32,1
40,2
45,6
46,4
50,2
51,8
52,8
53,12
55,3
58,3
59,1
60,2
62,2
66,13
70,7
72,1
75,1
76,2
80,1
84,2
86,1
87,2
88,3
90,31
91,2
92,1
96,1
99,5
100,1939
111,1
114,1
120,3
134,1
150,2
158,1
160,1
161,1
196,1
199,2
200,738
250,3
300,315
400,110
410,1
459,1
500,42
599,1
600,4
601,1
602,1
603,2
640,1
699,1
700,6
730,1
750,2
800,19
900,22
1000,27
1100,1
1205,1
1500,1
1600,1
1700,2
1900,1
2000,1
4000,1
5000,3
