distance_ticks,count
0,16658
1,11978
2,4664
3,3207
4,2509
5,2048
6,1678
7,1555
8,1299
9,1377
10,1051
11,1173
12,1054
13,794
14,566
15,514
16,454
17,371
18,327
19,293
20,291
21,307
22,314
23,251
24,204
25,170
26,145
27,145
28,110
29,119
30,90
31,88
32,95
33,95
34,90
35,88
36,136
37,121
38,167
39,185
40,256
41,314
42,362
43,489
44,585
45,523
46,458
47,385
48,309
49,247
50,212
51,146
52,123
53,99
54,76
55,58
56,47
57,76
58,64
59,48
60,51
61,47
62,47
63,43
64,40
65,40
66,43
67,28
68,23
69,42
70,35
71,22
72,25
73,20
74,22
75,32
76,23
77,22
78,22
79,15
80,19
81,11
82,12
83,4
84,14
85,17
86,14
87,13
88,9
89,10
90,13
91,6
92,5
93,10
94,5
95,2
96,2
97,5
98,2
99,6
100,6
101,7
102,4
103,5
104,6
105,2
106,2
107,5
108,5
109,2
110,1
111,4
113,4
114,2
115,4
116,5
117,2
118,6
119,4
120,1
121,2
122,1
123,3
125,1
126,1
127,3
128,1
129,1
130,3
131,5
132,1
133,2
134,4
135,2
137,4
138,3
139,4
140,4
141,1
142,2
143,4
144,1
145,1
146,2
147,4
148,3
149,2
151,3
152,2
153,2
156,3
157,3
160,1
162,3
163,1
164,3
165,1
166,3
167,1
168,2
170,1
171,2
172,2
173,1
174,3
175,1
176,1
180,1
181,1
182,3
183,2
184,2
185,1
186,1
187,2
188,1
190,1
191,1
192,1
193,1
194,1
196,1
198,2
199,2
200,1
201,1
202,1
203,1
207,1
210,1
213,3
214,1
216,1
221,1
222,2
225,3
226,1
227,1
228,1
232,1
233,1
234,3
236,3
237,1
240,1
241,1
242,2
243,1
244,2
245,1
247,2
248,5
249,4
250,2
252,5
253,3
254,10
255,20
256,15
257,11
258,19
259,38
260,57
261,74
262,90
263,114
264,193
265,340
266,438
267,410
268,297
269,159
270,43
271,54
272,46
273,54
274,45
275,71
276,91
277,98
278,132
279,248
280,394
281,356
282,378
283,253
284,198
285,214
286,195
287,173
288,133
289,105
290,77
291,47
292,34
293,37
294,32
295,38
296,46
297,20
298,25
299,37
300,28
301,24
302,30
303,30
304,56
305,60
306,82
307,123
308,172
309,282
310,351
311,316
312,271
313,152
314,99
315,74
316,52
317,63
318,85
319,117
320,169
321,276
322,353
323,372
324,265
325,128
326,60
327,40
328,36
329,20
330,17
331,8
332,6
333,2
334,4
335,2
336,4
337,2
338,2
339,1
341,1
343,1
347,1
348,1
349,1
350,1
355,1
359,1
363,1
367,3
369,1
378,1
380,1
381,1
386,1
388,2
389,1
390,1
392,1
398,3
399,1
406,1
408,1
410,1
417,1
418,1
420,1
421,1
425,1
427,1
428,1
435,3
439,3
448,1
458,1
461,1
466,3
467,1
469,4
470,1
473,1
474,4
475,1
477,1
479,3
480,3
482,2
483,1
490,1
491,1
498,2
500,2
503,1
504,1
506,1
510,1
511,1
523,1
526,1
529,2
536,2
537,1
538,1
539,2
541,2
542,2
547,3
548,3
555,3
564,1
569,4
571,1
574,2
582,2
589,1
593,1
600,1
613,2
627,1
631,2
638,2
654,3
656,2
658,1
659,4
662,1
663,3
687,1
689,1
690,2
695,1
699,1
700,3
707,5
710,3
711,3
714,2
715,5
716,1
718,3
719,1
720,4
724,1
727,1
728,1
729,3
731,4
732,4
733,2
734,4
735,3
736,2
737,5
738,10
739,10
740,15
741,7
742,17
743,36
744,41
745,98
746,128
747,177
748,203
749,339
750,359
751,371
752,375
753,338
754,256
755,218
756,199
757,185
758,140
759,65
760,35
761,9
762,11
763,5
764,14
765,18
766,8
767,2
768,15
771,1
773,1
784,2
788,2
791,25
793,29
794,29
795,29
796,12
797,26
798,77
799,38
800,4
802,1
807,2
816,1
839,1
840,1
853,2
878,1
880,2
889,14
890,23
903,1
909,2
913,1
954,1
980,1
1020,1
1116,1
1129,1
1130,3
1154,1
1199,1
1238,2
1339,1
1349,1
1404,3
1425,1
1439,1
1592,1
1593,1
1606,1
1620,1
1631,1
1756,1
1779,37
1814,1
1848,1
1853,2
1854,1
1858,1
1859,1
1860,1
1861,4
1862,2
1863,4
1864,4
1865,1
1866,5
1867,2
1868,1
1869,3
1870,2
1871,2
1872,3
1873,2
1874,3
1876,1
1881,2
1896,1
1898,1
1927,2
1977,35
1980,1
1992,1
1997,1
1998,1
2003,63
2004,2
2007,1
2008,1
2016,1
2073,10
2093,8
2113,29
2133,9
2150,10
2269,1
2270,25
2281,2
2286,9
2328,2
2446,1
2534,8
2780,1
2885,4
3679,1
9989711,1
9991159,1
