quantity,count
1,723
2,239
3,240
4,192
5,301
6,129
7,91
8,115
9,81
10,388
11,96
12,74
13,100
14,85
15,95
16,52
17,53
18,53
19,44
20,275
21,48
22,61
23,42
24,58
25,63
26,58
27,27
28,41
29,53
30,72
31,36
32,53
33,35
34,49
35,40
36,38
37,61
38,35
39,28
40,107
41,25
42,39
43,20
44,35
45,17
46,22
47,37
48,38
49,28
50,172
51,26
52,28
53,23
54,37
55,19
56,35
57,18
58,30
59,21
60,56
61,16
62,14
63,32
64,22
65,26
66,34
67,25
68,93
69,22
70,42
71,77
72,21
73,17
74,33
75,62
76,15
77,14
78,24
79,18
80,58
81,17
82,28
83,17
84,19
85,28
86,30
87,25
88,17
89,27
90,57
91,19
92,14
93,19
94,27
95,30
96,25
97,35
98,25
99,70
100,2448
101,2
102,4
103,1
104,1
105,1
106,2
107,1
108,3
109,3
110,1
111,1
112,4
113,1
114,4
115,1
116,2
117,1
118,3
119,2
120,2
121,1
124,3
125,1
126,3
127,2
128,2
129,1
130,3
131,2
132,1
133,2
134,4
135,4
137,1
140,4
142,2
143,1
144,1
146,1
148,1
149,3
150,4
152,1
154,1
155,1
156,1
158,2
159,1
160,3
162,2
163,1
164,1
165,3
166,3
167,2
168,3
171,1
172,2
173,1
174,1
176,3
177,1
179,1
182,1
184,1
186,1
188,1
189,2
192,2
194,1
195,1
196,3
197,2
198,2
199,2
200,111
201,1
203,1
209,1
214,1
215,1
216,2
218,1
220,1
227,1
228,1
230,1
234,1
236,1
238,1
239,1
240,1
242,1
244,2
246,1
248,1
249,1
250,1
251,1
252,1
256,1
258,1
260,2
262,1
263,1
268,1
272,1
274,1
277,1
282,3
283,1
287,1
289,1
294,2
295,2
300,15
312,1
343,1
360,1
361,1
378,1
400,13
415,1
416,1
472,1
479,1
495,1
500,3
501,1
544,1
550,1
593,1
594,1
600,1
648,1
657,1
700,2
715,1
900,1
1000,1
1462,1
1524,1
1530,1
2700,1
3388,1
