quantity,count
1,46
2,6
3,9
4,4
5,9
7,2
8,1
9,7
10,13
11,1
12,2
13,1
15,5
17,2
20,9
23,1
24,2
25,5
29,2
30,18
35,2
39,67
40,6
41,1
42,2
43,2
44,4
45,1
47,2
48,1
50,24
52,1
54,3
57,1
60,8
63,1
64,1
70,7
74,1
75,1
86,2
87,1
90,8
97,1
98,2
100,1467
102,1
106,1
120,1
125,2
127,2
130,1
144,2
150,2
156,1
174,1
180,1
191,1
192,1
200,190
230,1
240,1
250,1
297,1
298,1
300,95
305,1
330,4
335,1
380,1
390,1
400,62
450,1
500,43
590,2
600,8
700,3
725,1
728,1
800,4
900,2
1000,17
1100,2
1300,1
1500,2
1600,6
1800,2
2000,6
2300,1
3500,2
9730,1
10000,2
11700,1
23574,1
30000,2
