quantity,count
1,158
2,88
3,59
4,10
5,21
6,19
7,8
8,19
9,10
10,554
11,77
12,26
13,3
14,5
15,483
16,10
17,9
18,5
19,4
20,48
22,6
23,16
24,25
25,56
26,35
27,17
28,30
29,9
30,618
31,18
32,9
33,31
34,18
35,32
36,6
37,2
38,8
39,3
40,49
41,19
42,10
43,25
44,20
45,10
46,19
47,6
48,11
49,3
50,72
51,6
52,14
53,11
54,4
55,3
56,9
57,5
58,10
59,2
60,3
61,4
62,1
63,4
64,5
65,5
66,3
67,2
68,7
69,7
70,6
71,2
72,3
74,3
75,12
76,2
77,2
78,2
79,1
80,6
83,4
86,7
87,9
88,1
89,3
90,6
91,2
92,7
93,5
94,9
95,6
96,6
97,7
98,6
99,8
100,16084
101,7
103,1
104,6
106,3
108,2
109,4
110,2
111,2
112,1
114,8
115,3
116,2
117,3
118,2
119,3
120,4
121,10
122,3
123,3
124,1
125,1
126,1
127,3
128,5
131,3
132,2
133,1
135,1
138,1
139,4
140,43
141,2
142,4
143,4
144,1
145,2
146,4
147,2
148,3
149,1
150,13
152,1
153,1
154,3
157,2
158,2
159,4
160,4
162,1
164,2
165,1
166,3
167,4
168,3
169,5
170,5
171,5
172,3
173,3
175,5
178,2
179,3
180,6
181,5
182,3
183,3
184,5
185,4
186,2
187,1
188,1
189,3
190,5
191,3
193,1
194,1
195,2
196,2
197,2
198,1
199,1
200,1831
201,1
203,2
204,1
208,1
219,1
220,3
221,1
224,1
225,2
230,1
231,1
232,1
233,17
237,1
250,4
256,1
257,1
260,2
271,1
274,2
275,2
276,1
277,3
279,1
280,5
281,29
283,1
289,1
291,1
298,22
300,538
301,7
303,1
309,1
311,1
320,1
322,1
324,1
326,9
327,12
340,1
343,1
349,1
350,2
357,1
367,1
372,1
376,13
377,1
379,1
388,1
389,1
390,1
398,1
400,1056
401,2
403,1
416,12
422,1
425,1
431,1
439,1
450,1
451,1
460,1
467,1
470,1
484,1
487,1
498,1
500,695
505,1
512,1
525,2
538,1
550,4
567,1
589,1
591,1
592,1
600,709
624,1
630,5
668,1
689,1
700,619
705,1
740,1
750,20
759,1
772,1
780,1
783,1
788,1
790,2
793,1
800,472
806,1
816,1
819,1
824,1
850,5
857,1
870,1
893,1
897,1
899,1
900,95
950,4
979,1
984,1
986,1
987,1
989,2
999,2
1000,80
1002,1
1018,2
1025,1
1032,1
1040,1
1068,1
1100,9
1107,1
1180,1
1200,15
1292,1
1300,65
1301,1
1392,1
1400,96
1418,1
1447,1
1500,64
1542,1
1543,1
1544,1
1586,1
1600,49
1653,1
1675,1
1686,1
1694,1
1700,57
1754,1
1783,1
1794,1
1795,1
1800,10
1883,1
1888,1
1895,1
1900,30
1944,1
1995,1
2000,39
2044,1
2064,1
2074,1
2100,11
2164,1
2264,1
2300,1
2400,14
2475,1
2500,19
2588,1
2700,9
2900,1
3000,5
3048,1
3140,1
3263,2
3500,1
3600,1
3689,1
4349,1
4651,1
4851,1
5000,2
5178,3
5350,1
5650,1
6000,1
7000,1
8000,1
10000,7
10055,1
10105,1
12000,1
14000,1
15000,3
21525,1
36320,1
100000,5
