distance_ticks,count
0,18093
1,9470
2,4972
3,3635
4,2645
5,1892
6,1370
7,1104
8,1234
9,1979
10,1293
11,939
12,795
13,840
14,744
15,722
16,828
17,1022
18,1184
19,800
20,557
21,367
22,319
23,288
24,348
25,450
26,570
27,652
28,712
29,745
30,685
31,481
32,321
33,219
34,141
35,168
36,119
37,138
38,124
39,113
40,145
41,126
42,155
43,135
44,129
45,145
46,162
47,164
48,153
49,153
50,80
51,78
52,65
53,90
54,77
55,101
56,144
57,185
58,216
59,164
60,158
61,163
62,178
63,196
64,103
65,67
66,64
67,41
68,33
69,30
70,15
71,19
72,16
73,22
74,20
75,21
76,13
77,15
78,7
79,18
80,16
81,16
82,14
83,11
84,23
85,13
86,13
87,16
88,19
89,14
90,14
91,12
92,14
93,13
94,14
95,11
96,5
97,14
98,7
99,13
100,13
101,16
102,18
103,22
104,20
105,15
106,43
107,22
108,38
109,56
110,64
111,94
112,143
113,259
114,398
115,623
116,690
117,503
118,246
119,115
120,96
121,109
122,167
123,244
124,397
125,592
126,649
127,474
128,223
129,76
130,24
131,13
132,13
133,4
134,17
135,7
136,4
137,8
138,5
139,10
140,14
141,18
142,38
143,46
144,62
145,86
146,170
147,362
148,473
149,292
150,145
151,29
152,2
153,5
154,1
155,7
157,2
158,1
159,3
160,4
161,2
162,2
163,6
164,6
165,3
166,8
167,11
168,14
169,14
170,47
171,73
172,164
173,297
174,402
175,675
176,576
177,399
178,137
179,73
180,21
181,11
182,5
183,16
185,2
186,10
187,13
188,6
189,3
190,2
191,2
193,3
194,2
195,4
196,2
197,1
198,2
199,1
200,3
201,3
202,1
203,2
204,3
205,6
207,2
208,3
211,2
212,2
214,1
215,2
216,1
218,2
219,1
221,2
222,1
223,1
225,2
228,7
230,3
231,1
232,3
233,1
237,2
238,4
239,2
242,1
243,2
245,1
247,8
250,1
251,1
252,1
257,1
258,1
259,1
260,2
261,1
264,1
266,1
267,2
269,5
270,1
271,2
272,1
273,1
281,2
282,3
283,1
285,1
286,1
288,4
289,4
290,1
291,1
292,5
293,1
298,2
299,1
301,1
303,3
304,1
306,3
308,2
310,1
312,3
313,1
315,1
321,1
323,1
329,1
330,1
331,3
332,1
333,2
334,1
336,4
337,3
338,1
339,1
342,2
344,3
345,1
346,1
348,4
351,1
352,1
355,1
357,1
362,1
363,2
367,1
372,1
375,1
376,1
378,2
380,2
384,1
388,3
389,1
392,1
394,1
402,3
404,2
406,2
407,1
411,1
412,1
413,1
414,3
415,1
420,1
422,1
423,2
424,1
425,2
426,1
427,1
430,3
431,1
432,2
433,1
434,5
435,2
436,2
437,2
438,3
439,4
440,2
442,7
443,3
444,1
445,3
446,3
447,2
449,3
452,6
453,2
454,3
455,4
456,2
457,1
458,3
459,4
460,3
461,1
462,1
463,2
465,1
466,4
469,3
482,2
483,1
486,1
490,1
495,1
502,1
503,2
504,3
505,1
513,1
521,1
525,1
544,3
551,1
560,1
568,2
572,1
573,1
575,1
578,2
581,1
600,1
603,3
604,1
605,3
606,3
607,3
608,4
609,4
610,7
611,6
612,9
613,26
614,15
615,17
616,34
617,53
618,70
619,121
620,93
621,142
622,150
623,172
624,198
625,291
626,396
627,411
628,318
629,261
630,155
631,108
632,56
633,34
634,17
635,14
636,11
637,6
638,1
639,1
644,1
648,1
651,2
658,1
660,1
661,1
662,2
663,4
664,1
665,1
666,3
668,3
669,1
670,3
671,4
672,4
673,3
674,8
675,6
676,8
677,4
678,3
679,4
680,3
681,13
682,1
683,5
684,2
685,4
686,4
687,3
688,3
689,1
690,3
692,5
693,3
694,2
701,1
870,1
881,1
924,1
925,1
969,1
973,1
986,3
990,1
1012,1
1028,1
1029,3
1037,3
1066,1
1078,1
1101,1
1109,15
1111,22
1116,3
1120,21
1121,1
1123,9
1125,6
1134,3
1144,1
1147,1
1151,1
1165,2
1166,1
1168,1
1169,4
1170,1
1171,1
1174,1
1177,2
1192,3
1198,14
1203,1
1207,1
1223,26
1225,11
1230,1
1231,1
1233,1
1237,26
1238,11
1250,1
1253,25
1256,11
1262,1
1328,13
1404,1
1408,1
1426,1
1430,36
1532,1
1549,1
1569,3
1632,1
1660,1
1667,1
1668,2
1669,1
1670,1
1672,1
1675,1
1679,1
1700,12
1702,24
1718,2
1721,12
1731,24
1851,1
1936,1
2220,2
2251,1
2429,28
2436,10
2647,1
3188,2
3245,1
3683,1
4713,1
5532,1
5766,1
5945,1
6113,1
9995748,1
9996195,1
