quantity,count
1,2223
2,290
3,239
4,178
5,803
6,196
7,162
8,72
9,60
10,2370
11,79
12,504
13,180
14,174
15,679
16,314
17,61
18,426
19,166
20,167
21,121
22,139
23,74
24,104
25,59
26,273
27,67
28,66
29,87
30,703
31,18
32,16
33,27
34,20
35,19
36,17
37,20
38,78
39,20
40,192
41,40
42,18
43,21
44,20
45,30
46,12
47,16
48,35
49,36
50,59
51,23
52,79
53,3
54,11
55,13
56,8
57,4
58,5
59,13
60,31
61,12
62,6
63,6
64,8
65,4
66,2
67,13
68,22
69,11
70,14
71,36
72,15
73,10
74,3
75,80
77,13
78,21
79,20
80,18
81,2
82,4
83,2
84,2
85,6
86,7
87,13
88,6
89,7
90,8
91,7
92,7
93,2
94,14
95,16
96,59
97,36
98,23
99,30
100,58765
101,80
103,1
104,2
105,4
106,1
107,1
110,1
111,5
112,1
116,2
118,19
119,1
120,75
123,8
125,2
126,2
130,1
131,1
132,1
135,1
136,1
137,2
139,3
140,3
143,1
144,1
147,7
148,12
149,11
150,61
153,1
155,1
157,2
159,2
160,5
168,1
174,1
175,1
177,4
178,10
181,1
182,1
183,1
188,1
189,2
192,2
194,1
195,2
196,1
197,8
198,5
199,18
200,1416
209,1
223,3
224,3
239,8
250,2
274,1
296,3
297,147
299,1
300,208
301,1
302,1
307,88
308,134
328,18
339,2
351,33
361,31
400,25
450,1
494,2
500,35
507,1
600,41
700,27
744,1
897,2
993,1
1000,37
1806,1
2000,20
3590,1
