distance_ticks,count
0,1210
1,796
2,146
3,66
4,61
5,52
6,43
7,59
8,40
9,37
10,36
11,32
12,37
13,37
14,19
15,35
16,18
17,29
18,20
19,17
20,63
21,24
22,18
23,14
24,6
25,11
26,9
27,4
28,8
29,12
30,11
31,6
32,7
33,3
34,7
35,7
36,7
37,7
38,1
39,2
40,6
41,11
42,5
43,16
44,24
45,35
46,29
47,31
48,91
49,55
50,59
51,40
52,80
53,47
54,33
55,4
56,8
57,3
58,1
59,3
60,4
61,4
64,1
66,2
67,2
70,1
72,2
77,4
78,1
79,2
80,1
81,5
82,7
83,1
84,1
85,1
86,1
87,1
88,5
89,1
90,1
91,1
94,3
96,2
97,1
99,4
100,3
102,1
103,2
106,5
107,1
108,5
109,6
110,2
112,3
114,1
115,2
116,6
117,5
118,7
119,4
120,5
121,9
122,8
123,12
124,12
125,16
126,34
127,31
128,15
129,8
130,3
131,3
132,5
133,3
134,1
135,2
136,4
137,2
139,2
142,1
145,1
149,1
150,1
151,1
156,1
157,2
159,1
160,1
165,2
168,1
171,1
178,1
179,2
180,2
181,1
184,1
186,1
191,3
193,2
195,1
198,2
199,1
200,1
203,1
204,2
205,2
207,1
217,1
220,2
221,1
224,1
227,1
234,1
240,1
249,1
250,1
257,3
259,2
261,1
282,1
303,1
312,2
330,1
331,1
334,1
339,1
345,1
351,2
360,1
367,1
379,1
381,3
386,2
392,3
396,1
397,3
400,1
402,1
406,3
411,2
416,22
425,1
427,22
429,1
431,4
437,2
438,22
439,3
442,2
444,1
449,17
452,4
455,2
456,3
478,1
480,21
486,4
487,1
490,21
496,1
497,1
502,22
528,3
540,4
582,1
720,3
751,1
775,5
