quantity,count
1,24
2,23
3,4
4,7
5,45
6,1
7,3
8,3
9,23
10,10
11,3
12,29
13,14
14,35
15,9
16,5
17,6
18,4
19,5
20,4
21,5
22,1
23,4
24,1
25,10
26,13
27,4
28,9
29,7
30,20
32,7
33,1
34,4
35,5
36,1
37,1
38,6
39,3
40,7
41,1
42,3
43,2
44,2
45,3
46,5
48,2
49,4
50,35
51,9
54,3
55,22
56,43
57,1
59,3
60,1
61,2
64,1
66,2
70,3
71,1
72,2
73,1
76,1
77,1
81,1
83,1
85,1
86,5
87,1
88,15
90,3
91,1
93,1
96,1
97,8
98,2
99,4
100,3188
103,2
105,1
116,5
117,1
136,8
150,1
153,7
187,1
200,239
210,1
300,18
400,13
500,7
509,1
600,10
700,9
800,28
900,3
1100,6
