quantity,count
1,46
2,39
3,15
4,14
5,52
6,13
7,3
8,4
9,8
10,20
11,5
12,9
13,7
14,5
15,6
16,9
17,5
18,5
19,7
20,14
21,4
22,4
23,1
24,3
25,4
26,3
27,3
28,6
29,8
30,4
31,4
32,4
33,2
34,1
35,1
36,5
37,4
38,2
39,3
40,6
41,6
42,3
44,5
45,4
46,4
47,3
48,4
49,1
50,11
52,3
53,2
54,4
55,2
56,6
58,2
59,3
60,2
61,4
63,2
64,4
65,1
67,2
68,2
69,1
70,4
71,2
72,2
73,1
75,2
77,1
78,1
80,8
82,2
83,1
84,3
85,1
86,2
87,3
88,4
89,1
90,3
93,1
94,2
95,6
96,2
98,8
99,2
100,117
131,1
156,1
179,1
185,1
200,2
212,1
244,1
