distance_ticks,count
0,120284
1,52934
2,24722
3,16739
4,17319
5,19687
6,21078
7,14574
8,10363
9,9780
10,5909
11,4128
12,3225
13,3216
14,2462
15,2269
16,1320
17,1143
18,921
19,774
20,571
21,392
22,276
23,255
24,245
25,195
26,217
27,147
28,186
29,203
30,147
31,164
32,233
33,171
34,179
35,186
36,183
37,295
38,622
39,465
40,641
41,252
42,103
43,58
44,55
45,108
46,82
47,96
48,67
49,109
50,138
51,187
52,177
53,150
54,92
55,55
56,43
57,41
58,43
59,36
60,22
61,20
62,11
63,24
64,29
65,42
66,21
67,40
68,19
69,17
70,12
71,12
72,10
73,4
74,9
75,9
76,10
77,15
78,8
79,8
80,7
81,7
82,9
83,9
84,6
85,8
86,10
87,11
88,9
89,13
90,10
91,15
92,14
93,6
94,12
95,10
96,8
97,11
98,7
99,9
100,13
101,9
102,13
103,14
104,7
105,16
106,12
107,14
108,13
109,13
110,20
111,28
112,10
113,10
114,8
115,11
116,12
117,5
118,10
119,15
120,5
121,9
122,7
123,7
124,8
125,7
126,4
127,7
128,7
129,8
130,8
131,12
132,14
133,8
134,5
135,3
136,5
137,6
138,4
139,5
140,12
141,5
142,7
143,6
144,9
145,5
146,6
147,6
148,9
149,8
150,8
151,8
152,5
153,7
154,2
155,7
156,3
157,2
158,5
159,2
160,5
161,4
162,2
163,3
164,2
165,2
166,2
167,5
168,5
169,5
170,3
171,13
172,3
173,5
174,3
175,10
176,16
177,38
178,152
179,611
180,887
181,904
182,728
183,189
184,64
185,27
186,16
187,22
188,13
189,6
190,13
191,8
192,8
193,29
194,84
195,560
196,883
197,816
198,574
199,74
200,11
201,15
202,14
203,29
204,68
205,164
206,512
207,655
208,791
209,973
210,586
211,1063
212,1338
213,1673
214,1229
215,786
216,143
217,19
218,9
219,2
220,4
221,4
222,3
223,1
224,2
225,4
226,6
227,4
228,6
229,5
230,7
231,3
232,10
233,1
234,4
235,5
236,4
237,6
238,4
239,4
240,3
241,1
242,1
243,9
244,5
245,9
246,5
247,6
248,10
249,7
250,4
251,7
252,6
253,8
255,5
256,2
257,9
258,8
259,5
260,9
261,5
262,4
263,8
264,4
265,7
266,5
267,2
268,4
269,2
270,2
271,4
272,1
273,3
274,1
275,3
276,2
277,2
278,2
279,2
280,4
282,3
283,1
284,2
285,1
286,4
287,2
288,4
290,2
291,2
292,2
293,4
294,2
295,2
296,2
297,5
299,3
300,3
301,4
302,3
303,1
304,1
305,2
306,3
307,1
308,4
309,1
310,2
312,3
314,5
316,1
317,3
318,2
319,7
320,3
322,2
323,3
324,3
325,3
326,2
327,3
328,2
329,5
330,1
331,2
332,4
333,4
334,2
335,1
337,7
339,1
340,1
341,3
342,1
343,2
345,1
346,3
347,3
348,5
349,4
350,5
351,5
352,2
353,2
355,2
356,1
357,4
358,2
359,1
360,3
364,2
366,2
367,1
368,1
372,2
380,1
384,1
385,1
386,1
388,4
389,3
390,3
392,3
394,1
396,1
400,1
402,2
404,1
405,1
406,1
408,2
410,2
413,1
416,1
420,1
425,1
431,2
432,1
436,1
443,1
444,1
457,1
458,9
459,43
460,141
461,339
462,645
463,629
464,512
465,170
466,46
467,24
468,8
469,5
470,6
471,10
473,4
474,2
475,5
476,2
477,2
478,1
480,3
485,3
486,1
488,1
490,2
491,1
492,1
498,3
510,1
514,1
518,1
521,3
525,1
526,2
527,1
530,2
532,1
534,3
535,3
537,1
538,2
539,1
544,1
546,1
550,1
558,2
560,1
562,1
566,1
587,1
592,1
593,1
600,1
610,3
614,3
634,1
650,1
664,2
665,38
667,1
670,2
672,2
673,1
674,2
676,1
686,2
687,1
688,1
690,1
691,1
694,1
695,1
722,1
728,2
730,1
732,1
752,1
770,1
781,1
787,1
828,1
856,3
860,1
861,2
862,2
863,5
864,10
866,2
867,2
868,5
869,7
870,7
871,2
872,4
873,3
874,1
875,1
877,10
878,8
879,5
880,13
881,11
882,11
883,11
884,14
885,10
886,8
887,14
888,18
889,17
890,26
891,14
892,19
893,24
894,10
895,21
896,13
897,9
898,17
899,12
900,9
901,24
902,8
903,7
904,10
905,12
906,5
907,6
908,15
909,15
910,13
911,7
912,18
913,4
914,11
915,14
916,7
917,12
918,13
919,16
920,17
921,12
922,16
923,8
924,8
925,9
926,30
927,16
928,21
929,10
930,12
931,7
932,7
933,19
934,9
935,1
937,2
941,1
945,3
947,1
948,1
952,1
955,2
956,2
957,1
958,4
960,5
961,7
962,5
963,4
964,1
965,8
966,14
967,10
968,9
969,11
970,7
971,19
972,14
973,10
974,20
975,25
976,19
977,7
978,16
979,14
980,10
981,7
982,12
983,18
984,6
985,4
986,8
987,1
988,1
989,7
990,1
992,5
993,3
994,9
995,7
996,3
997,3
999,3
1000,1
1001,1
1002,5
1003,3
1004,5
1005,9
1006,7
1007,2
1009,2
1010,1
1036,1
1073,1
1087,1
1114,1
1116,1
1122,1
1124,1
1126,1
1161,1
1178,1
1193,1
1198,1
1199,2
1213,1
1214,39
1221,2
1227,1
1230,1
1233,1
1234,1
1236,1
1240,1
1245,37
1273,1
1294,2
1298,1
1304,2
1305,29
1313,1
1329,1
1340,1
1353,6
1360,1
1372,1
1384,1
1400,37
1446,34
1447,2
1458,1
1506,2
1529,9
1942,1
1981,1
2114,1
3010,1
3321,1
3600,1
3629,1
3910,1
4078,1
5430,1
5651,1
6358,1
6808,1
7112,1
