distance_ticks,count
0,149442
1,38820
2,24592
3,18190
4,19623
5,20775
6,19498
7,14059
8,11559
9,7950
10,5572
11,4041
12,3247
13,3030
14,3267
15,1868
16,1139
17,993
18,972
19,589
20,363
21,409
22,243
23,258
24,322
25,207
26,146
27,139
28,158
29,136
30,122
31,109
32,106
33,292
34,217
35,91
36,58
37,93
38,499
39,1254
40,397
41,74
42,60
43,45
44,64
45,82
46,173
47,65
48,27
49,40
50,74
51,320
52,298
53,64
54,138
55,85
56,27
57,23
58,22
59,17
60,22
61,17
62,10
63,10
64,9
65,18
66,101
67,23
68,9
69,10
70,9
71,19
72,10
73,11
74,8
75,18
76,8
77,12
78,3
79,11
80,11
81,6
82,10
83,6
84,7
85,10
86,8
87,7
88,14
89,11
90,14
91,19
92,11
93,8
94,10
95,5
96,9
97,9
98,6
99,13
100,36
101,8
102,13
103,15
104,20
105,14
106,14
107,19
108,11
109,9
110,33
111,28
112,10
113,14
114,7
115,11
116,10
117,11
118,20
119,11
120,19
121,14
122,10
123,10
124,8
125,7
126,4
127,4
128,5
129,7
130,10
131,6
132,10
133,12
134,9
135,5
136,5
137,6
138,6
139,11
140,19
141,7
142,14
143,16
144,6
145,4
146,7
147,5
148,12
149,5
150,16
151,3
152,5
153,9
154,4
155,8
156,3
157,4
158,13
159,7
160,4
161,5
162,7
163,5
164,2
165,4
166,16
167,5
168,4
169,3
170,4
171,8
172,4
173,7
174,5
175,7
176,6
177,14
178,44
179,275
180,1288
181,1488
182,398
183,84
184,26
185,14
186,11
187,10
188,11
189,18
190,15
191,11
192,9
193,13
194,18
195,226
196,1239
197,1347
198,163
199,9
200,11
201,8
202,11
203,9
204,29
205,75
206,333
207,1020
208,954
209,595
210,1117
211,622
212,1237
213,1879
214,1757
215,399
216,33
217,5
218,5
219,4
220,4
221,5
222,2
223,2
224,5
225,5
226,7
227,4
228,5
229,4
230,15
231,1
232,4
233,5
234,4
235,6
236,4
237,4
238,5
239,3
240,16
241,2
242,7
243,6
244,2
245,6
246,5
247,4
248,8
249,4
250,6
251,7
252,8
253,7
254,5
255,9
256,6
257,6
258,9
259,9
260,10
261,5
262,4
263,5
264,7
265,4
266,7
267,3
268,5
269,1
270,8
271,8
272,1
273,5
274,4
275,4
276,1
277,4
278,1
279,4
280,9
281,6
285,9
286,2
287,3
288,3
289,5
290,3
291,2
292,4
293,5
294,3
295,2
296,3
297,5
298,3
299,3
300,13
301,7
302,1
303,1
304,4
305,24
307,1
308,4
309,10
310,13
311,3
312,4
313,1
314,3
315,1
316,2
317,5
318,5
319,7
320,10
321,4
322,3
323,2
324,5
325,3
326,4
327,4
328,1
329,2
330,8
331,4
332,1
333,4
334,1
335,2
336,3
337,2
338,2
339,1
340,12
341,3
342,2
343,2
344,3
345,3
346,3
348,8
349,4
350,3
351,5
352,6
353,3
354,1
355,7
356,4
357,3
358,3
359,4
360,2
361,2
362,3
363,5
364,1
365,3
366,2
367,2
369,1
370,4
372,10
373,2
375,1
380,2
381,1
382,1
383,1
385,2
387,2
388,2
389,2
390,7
391,1
392,3
393,4
395,1
396,1
397,2
398,3
399,2
400,2
402,1
404,2
405,2
406,2
410,11
412,1
413,1
415,2
419,2
420,1
421,2
422,3
426,6
427,1
429,1
430,5
433,1
435,1
436,1
437,1
438,1
439,1
440,9
447,1
448,10
451,3
452,2
453,2
455,5
456,1
458,2
459,8
460,73
461,290
462,728
463,947
464,366
465,107
466,40
467,7
468,6
469,3
470,5
471,8
472,18
473,12
474,6
