distance_ticks,count
0,5753
1,1122
2,699
3,823
4,530
5,594
6,499
7,212
8,169
9,218
10,218
11,149
12,104
13,109
14,38
15,25
16,11
17,13
18,14
19,19
20,25
21,66
22,142
23,264
24,269
25,192
26,47
27,8
28,4
29,14
30,11
31,9
32,9
33,2
34,11
35,4
36,5
37,5
38,5
39,5
40,8
41,5
42,2
43,4
44,10
45,14
46,8
47,129
48,160
49,88
50,16
51,8
52,2
53,13
54,10
55,8
56,17
57,5
58,10
59,5
60,1
61,2
62,2
63,2
64,4
65,1
66,2
68,1
69,3
71,1
72,1
73,6
74,3
75,8
76,4
77,4
78,5
80,2
81,5
82,2
83,2
85,1
87,1
88,2
89,1
90,1
91,1
93,1
94,2
95,2
96,1
97,1
98,1
99,1
100,2
101,2
102,2
105,7
106,3
107,1
108,1
110,1
111,3
114,1
117,1
118,1
122,2
123,4
125,2
128,1
129,1
130,6
134,1
135,4
136,5
140,2
149,1
152,2
153,2
155,3
156,4
158,1
161,2
166,1
167,1
169,5
170,1
171,22
172,1
175,3
176,26
180,3
182,3
183,2
185,1
186,3
187,4
190,1
191,5
195,6
197,2
198,1
199,27
201,1
202,3
203,24
204,1
205,1
206,3
207,3
208,20
209,7
210,1
211,13
212,6
213,20
214,22
216,6
219,3
220,28
222,24
223,21
224,19
225,6
228,5
230,3
231,1
233,1
236,3
238,19
242,1
248,1
254,1
255,4
257,1
262,1
267,1
268,2
275,1
280,2
286,1
288,1
292,1
304,1
305,1
306,1
307,1
317,1
318,1
326,1
332,1
333,1
338,1
341,1
350,1
355,1
356,1
367,1
368,4
369,2
379,1
388,2
390,1
404,1
405,1
406,4
416,1
418,1
436,3
449,1
453,1
460,1
468,2
478,1
490,1
567,1
568,2
575,1
667,1
669,1
736,1
742,1
767,1
855,1
