quantity,count
1,1683
2,419
3,187
4,181
5,265
6,77
7,115
8,66
9,138
10,220
11,51
12,79
13,26
14,40
15,67
16,19
17,37
18,51
19,17
20,100
21,26
22,25
23,13
24,33
25,56
26,20
27,19
28,28
29,27
30,513
31,18
32,52
33,28
34,61
35,22
36,23
37,27
38,19
39,14
40,32
41,11
42,12
43,18
44,34
45,31
46,9
47,12
48,60
49,14
50,53
51,12
52,12
53,13
54,12
55,33
56,26
57,100
58,6
59,5
60,92
61,1
62,14
63,3
64,1
65,26
66,5
67,3
68,2
69,4
70,13
71,7
72,5
73,8
74,7
75,13
76,9
77,1
78,5
79,6
80,15
81,44
82,1
83,1
84,4
85,7
86,3
88,24
90,35
91,6
93,2
94,33
95,18
96,1
97,73
98,9
99,6
100,26408
101,64
102,48
103,2
104,3
105,1
106,3
108,1
110,1
112,4
115,1
118,2
120,9
121,2
124,5
126,2
129,2
131,7
133,4
134,5
136,4
140,2
142,9
144,1
146,5
150,1
152,3
153,1
154,1
155,1
158,1
159,1
165,4
178,13
179,1
181,1
183,1
184,1
187,1
189,1
196,1
200,836
207,1
240,5
242,1
250,3
263,1
275,3
282,1
285,2
300,196
328,1
350,2
357,2
360,1
364,1
387,2
400,60
423,3
427,1
500,133
600,11
700,5
800,9
809,1
900,11
940,2
950,3
1000,119
1100,1
1144,2
1300,5
1500,3
1523,1
1900,1
2600,2
4680,2
