quantity,count
1,68
2,39
3,37
4,36
5,47
6,27
7,31
8,25
9,25
10,54
11,7
12,23
13,7
14,9
15,29
16,12
17,13
18,11
19,15
20,31
21,10
22,9
23,17
24,13
25,14
26,13
27,5
28,14
29,11
30,20
31,8
32,6
33,10
34,3
35,7
36,5
37,24
38,7
39,11
40,14
41,8
42,1
43,6
44,5
45,3
46,4
47,6
48,11
49,6
50,10
51,9
52,6
53,1
54,3
55,3
56,5
57,2
58,2
59,7
60,10
61,6
62,3
63,3
64,5
65,2
66,5
67,5
68,4
69,3
70,8
72,7
73,4
74,11
75,7
76,5
77,8
78,5
79,8
80,10
81,5
82,2
83,6
84,4
85,4
86,2
87,3
88,3
89,3
90,9
91,4
92,2
93,8
94,5
95,11
96,3
97,7
98,14
99,12
100,445
101,1
102,1
111,1
125,1
136,1
145,2
149,1
167,2
177,1
193,1
200,9
201,1
205,1
233,1
235,1
238,1
290,1
300,2
313,1
400,3
482,1
500,3
504,1
521,1
565,1
686,1
700,1
860,1
2200,1
