quantity,count
1,369
2,84
3,9
4,28
5,214
6,66
7,32
8,5
9,3
10,104
11,5
13,3
14,13
15,66
16,6
17,6
18,16
19,10
20,18
21,10
22,13
23,8
24,12
25,13
26,19
27,41
28,13
29,10
30,340
31,2
32,6
33,1
34,4
35,5
37,9
38,3
39,1
40,9
41,5
42,11
43,2
44,2
45,8
46,1
47,2
48,6
49,11
50,77
51,14
52,16
53,11
54,1
56,1
57,1
58,7
59,1
60,66
61,2
62,39
63,7
64,4
65,5
66,3
67,5
68,2
69,3
70,5
71,3
72,4
73,3
74,1
75,6
76,3
77,1
78,37
79,5
80,3
83,39
84,2
85,6
87,5
88,2
89,39
90,65
91,3
92,11
93,2
95,8
96,1
97,3
98,14
99,26
100,21143
105,2
106,1
107,2
108,1
110,1
114,2
115,3
116,3
117,58
118,14
120,1
121,2
125,2
126,1
133,1
134,4
140,2
142,1
143,1
144,2
145,27
146,2
149,118
150,55
152,1
155,3
158,1
159,1
161,3
164,2
166,1
168,2
169,18
170,1
172,1
176,1
177,2
178,1
180,1
182,1
184,2
185,3
187,3
193,2
194,3
195,1
197,1
198,1
199,2
200,2413
245,3
250,1
269,1
294,1
300,736
350,1
380,1
400,376
500,173
525,1
563,1
591,1
600,104
620,1
700,134
800,71
900,67
1000,41
1100,3
1300,4
1420,1
1500,1
1600,1
1900,1
2000,1
2234,1
4000,1
4270,1
5333,1
