distance_ticks,count
0,13380
1,2379
2,985
3,959
4,709
5,591
6,513
7,383
8,328
9,294
10,300
11,198
12,213
13,257
14,189
15,174
16,140
17,187
18,195
19,128
20,111
21,76
22,115
23,93
24,96
25,123
26,125
27,72
28,65
29,73
30,67
31,96
32,118
33,62
34,49
35,75
36,51
37,35
38,32
39,45
40,56
41,45
42,37
43,36
44,24
45,24
46,24
47,24
48,22
49,17
50,50
51,25
52,8
53,20
54,19
55,32
56,33
57,22
58,24
59,35
60,48
61,37
62,44
63,66
64,80
65,89
66,141
67,353
68,120
69,103
70,131
71,223
72,201
73,132
74,53
75,59
76,93
77,117
78,199
79,150
80,36
81,28
82,22
83,20
84,31
85,28
86,17
87,11
88,10
89,10
90,9
91,6
92,3
93,5
94,7
95,10
96,9
97,7
98,6
99,4
100,3
101,9
102,11
103,8
104,5
105,11
106,7
107,6
108,7
109,12
110,8
111,11
112,13
113,17
114,10
115,10
116,14
117,20
118,11
119,17
120,22
121,66
122,104
123,136
124,167
125,108
126,106
127,197
128,267
129,262
130,195
131,114
132,150
133,50
134,30
135,15
136,6
137,6
138,8
139,17
140,4
141,7
142,5
143,9
144,2
145,3
146,2
147,7
148,1
149,1
150,4
151,2
153,8
154,8
155,1
156,1
157,12
158,5
159,2
160,5
161,4
162,4
163,1
164,10
165,1
167,5
168,1
169,4
170,5
171,7
172,1
173,3
174,3
175,3
176,3
178,3
179,2
181,3
182,1
183,1
184,2
185,6
186,1
187,2
189,1
190,1
192,1
193,1
194,1
195,1
196,6
197,5
199,1
200,7
202,3
204,1
206,2
207,1
209,3
210,1
211,1
212,2
219,2
220,1
221,3
223,1
225,2
228,1
234,2
235,2
238,3
240,3
241,1
242,5
243,3
244,1
245,1
246,2
248,3
249,5
250,3
251,2
252,1
253,1
254,2
255,2
256,4
257,4
258,1
260,1
261,2
262,2
263,1
272,3
273,1
275,3
276,1
277,1
278,1
279,1
282,1
284,1
285,2
287,7
289,1
291,5
292,1
293,2
294,2
296,2
297,6
298,1
299,2
300,2
301,4
302,1
304,1
305,1
306,1
307,1
309,1
313,2
317,1
322,1
326,1
328,2
332,2
335,1
337,1
339,2
343,1
344,1
352,1
363,1
375,2
376,3
377,3
378,1
379,6
380,1
383,2
385,1
388,3
391,2
396,1
397,1
398,1
403,1
414,2
415,3
419,2
426,1
427,2
434,1
435,1
436,2
437,1
439,3
441,4
442,2
443,2
444,1
445,1
446,3
447,1
448,3
449,3
450,1
452,1
454,2
455,2
457,1
458,3
459,1
460,4
461,12
462,11
463,15
464,47
465,136
466,215
467,233
468,161
469,114
470,201
471,246
472,280
473,408
474,228
475,100
476,57
477,37
478,20
479,19
480,17
481,10
482,4
483,2
484,4
485,2
486,4
488,1
489,1
491,1
496,1
510,1
531,4
533,1
535,1
541,1
551,1
552,3
565,1
574,2
575,2
577,1
584,1
593,1
594,2
595,1
600,7
607,2
610,16
614,23
623,2
634,1
635,2
637,19
639,3
643,1
656,1
659,3
675,1
685,2
696,2
697,1
703,1
706,20
707,3
715,9
717,1
721,1
722,14
733,9
734,1
738,1
745,12
775,2
778,2
788,1
799,2
808,1
810,1
813,1
820,1
833,1
838,1
841,1
864,1
868,1
869,2
870,1
871,1
872,2
873,1
874,1
875,2
876,3
877,1
888,3
915,1
927,1
930,1
945,1
973,1
1013,2
1017,1
1020,2
1040,3
1069,3
1075,1
1095,1
1134,1
1141,1
1148,25
1156,19
1167,1
1175,2
1176,25
1180,1
1189,1
1204,25
1212,1
1222,1
1238,1
1241,2
1242,3
1244,2
1255,1
1325,1
1388,2
1439,1
1465,1
1561,1
1583,1
1626,1
1632,1
1683,1
1689,2
1711,1
1717,1
1788,9
1877,16
1888,2
1944,1
2043,1
2082,1
2088,1
2174,1
2230,1
2350,1
2388,1
2457,1
2588,1
2727,1
2733,1
2795,1
2888,1
2958,1
3088,1
3258,1
3278,1
3290,1
3453,1
3888,1
3975,1
4110,1
4122,1
4487,1
6288,3
